journal,publications,citations,mean_citations,mean_fwci,cum,zone
African journal of medical practice,3,0,0.0,0.0,3160,2
Bulletin of Science and Practice,3,0,0.0,0.0,3163,2
Cureus Journal of Business and Economics.,3,0,0.0,0.0,3166,2
Discover Social Science and Health,3,0,0.0,0.0,3169,2
Economic & Political Weekly,3,0,0.0,0.0,3172,2
European Economic Letters (EEL),3,0,0.0,0.0,3175,2
HEALTH SCIENCES AND DISEASE,3,0,0.0,0.0,3178,2
INTERNATIONAL JOURNAL OF RESEARCH AND ANALYTICAL REVIEWS,3,0,0.0,0.0,3181,2
International Education and Research Journal,3,0,0.0,0.0,3184,2
International Journal of African Research Sustainability Studies,3,0,0.0,0.0,3187,3
International Journal of Research in Finance and Management,3,0,0.0,0.0,3190,3
International Journal of innovative inventions in Social Science and Humanities,3,0,0.0,0.0,3193,3
Journal of Development Review,3,0,0.0,0.0,3196,3
Journal of Institute of Medicine Nepal,3,0,0.0,0.0,3199,3
Research Journal of Social Science & Management,3,0,0.0,0.0,3202,3
Shanlax International Journal of Economics,3,0,0.0,0.0,3205,3
South Asian Journal of Social Studies and Economics,3,0,0.0,0.0,3208,3
Journal of Development Economics,2,163,81.5,6.109450000000001,3210,3
American Economic Review,2,149,74.5,12.6939,3212,3
Anthropology and Medicine,2,114,57.0,4.4401,3214,3
Journal of Epidemiology and Global Health,2,111,55.5,3.9306,3216,3
Asian Pacific Journal of Cancer Prevention,2,97,48.5,5.43625,3218,3
Journal of Preventive Medicine and Public Health,2,97,48.5,4.59315,3220,3
Global Health Promotion,2,77,38.5,4.15025,3222,3
American Journal of Biomedical and Life Sciences,2,72,36.0,4.5373,3224,3
International Quarterly of Community Health Education,2,66,33.0,4.021,3226,3
International Journal of Economics Finance and Management Sciences,2,65,32.5,3.7476000000000003,3228,3
BMC Women s Health,2,59,29.5,5.86,3230,3
International Archives of Medicine,2,57,28.5,5.1217500000000005,3232,3
International Journal of Health,2,55,27.5,2.411,3234,3
WHO South-East Asia Journal of Public Health,2,53,26.5,0.39255,3236,3
Journal of Asian Public Policy,2,46,23.0,6.14575,3238,3
Journal of Islamic accounting and business research,2,46,23.0,2.6609000000000003,3240,3
Southeast Asian Economies,2,45,22.5,4.01045,3242,3
Health Services Management Research,2,44,22.0,1.6728,3244,3
Journal of Public Economics,2,44,22.0,2.50885,3246,3
Frontiers in Digital Health,2,43,21.5,4.7791,3248,3
Indian Journal of Tuberculosis,2,42,21.0,2.42955,3250,3
Annals of Medical and Health Sciences Research,2,41,20.5,3.78945,3252,3
International Journal of Social Welfare,2,41,20.5,2.4029,3254,3
Vikalpa The Journal for Decision Makers,2,37,18.5,1.54255,3256,3
