author_id,author,publications,corpus_h_index
A5012547462,Sally Mtenga,5,4
A5015154653,Adane Kebede,5,4
A5019215016,Roger Muremyi,5,4
A5020387338,Chinyere Okeke,5,4
A5026669792,Subhash Pokhrel,5,4
A5029432829,Siddharth Srivastava,5,4
A5032073272,David Zombré,5,4
A5035063678,Golsum Tsakalos,5,4
A5036664986,Eugenia Amporfu,5,4
A5039830897,Kathleen Holloway,5,4
A5042871887,Rajesh Sharma,5,4
A5043944777,Bishwajit Nayak,5,4
A5044707094,Christine Kirunga Tashobya,5,4
A5052203401,Yi Yao,5,4
A5052600848,Anthony Theophilus Seddoh,5,4
A5053075762,Laura Anselmi,5,4
A5055588895,Ben Bellows,5,4
A5057378487,Yadeta Dessie,5,4
A5059550562,Stéphane Luchini,5,4
A5065611312,Daniel Chukwuemeka Ogbuabor,5,4
A5066830617,Adjima Gbangou,5,4
A5066982014,Roger A. Atinga,5,4
A5068142058,Jessica Gergen,5,4
A5070683140,Folashayo Adeniji,5,4
A5073611041,Winnie Yip,5,4
A5077696858,Sakthivel Selvaraj,5,4
A5077920726,Mireia Jofre‐Bonet,5,4
A5080974292,Som Sekhar Bhattacharyya,5,4
A5083880524,Pooja Kansra,5,4
A5084795770,Jalandhar Pradhan,5,4
A5087582641,Richard Gyan Aboagye,5,4
A5087989634,Dayashankar Maurya,5,4
A5090498844,Eleonora Cavagnero,5,4
A5091140191,Damen Haile Mariam,5,4
A5101568159,Nirmala Ravishankar,5,4
A5102023011,Arun Kumar Aggarwal,5,4
A5108588928,Majdi Ashour,5,4
A5112587699,Angwara Kiwara,5,4
A5000171631,Sandra Langat,5,3
A5001202000,Maria Nannini,5,3
A5002708162,Mario Biggeri,5,3
A5003936529,Ryoko Sato,5,3
A5004374043,Robinson Oyando,5,3
A5006186682,Malale Tungu,5,3
A5007540013,Richard G. Wamai,5,3
A5008207002,Raymond Elikplim Kofinti,5,3
A5008270321,Isaiah Agorinya,5,3
A5009353129,Yewande Kofoworola Ogundeji,5,3
A5014049036,Giovanni Putoto,5,3
A5020755429,Roland Nnaemeka Okoro,5,3
A5021928493,Lindsay Morgan,5,3
A5023639763,Lara Gautier,5,3
A5023990521,Ujjwal Kanti Paul,5,3
A5027338122,Aaron Asibi Abuosi,5,3
A5031072303,Bhimsen Devkota,5,3
A5031532168,Fadi El‐Jardali,5,3
A5044586569,Gaurav Jyani,5,3
A5047944107,Adam D. Koon,5,3
A5056297682,Saïdou Hamadou,5,3
A5056671269,Suraj Maiti,5,3
A5057026214,Nicolas Gerber,5,3
A5061915997,Joseph W. Hogan,5,3
A5066407028,Omar Galárraga,5,3
A5076326801,Asnakew Molla Mekonen,5,3
A5076409806,Charlotte Hanlon,5,3
A5076802077,Yaw Boateng Atakorah,5,3
A5078519734,Sumit Mazumdar,5,3
A5084382216,Gavin Yamey,5,3
A5087664102,Stephen O. Abrokwah,5,3
A5111877765,Gustavo Ángeles,5,3
A5113718786,Nkoli Ezumah,5,3
A5113839719,Saroj Kumar Rana,5,3
A5000602212,Gil Shapira,5,2
A5013593985,Shehrin Shaila Mahmood,5,2
A5015128914,Samip Pandey,5,2
A5026371972,Harshad Thakur,5,2
A5036673165,Xiaohui Hou,5,2
A5037838531,Benjamin Tsofa,5,2
A5066161254,Damien de Walque,5,2
A5068683950,Grace Mhalu,5,2
A5085587438,Pramesh Koju,5,2
A5093745531,Sabina Marasini,5,2
A5006943172,Simon Kiprono Ruttoh,5,1
A5035106135,Kathleen Sears,5,1
A5048985499,Patrick Oyibo,5,1
A5060459992,Wilson Kemei,5,1
A5111009354,Ousseynou Kâ,5,1
A5021356385,Boubacar Guèye,5,0
A5032455528,Evelyn Awittor,5,0
A5043587359,Sameen Siddiqi,5,0
A5065154347,Waqas Hameed,5,0
A5120998079,Francis Asenso-Boadi,5,0
,Emmanuel Bonnet,4,4
A5002775187,Kayode O. Osungbade,4,4
A5002840760,Somdeth Bodhisane,4,4
A5003412416,Elizabeth Ekirapa Kiracho,4,4
A5003636783,Akwasi Kumi-Kyereme,4,4
A5003849014,Brendan Kwesiga,4,4
A5007517607,Olatunde Aremu,4,4
A5008624363,Augustine Asante,4,4
A5010965457,Anna‐Karin Hurtig,4,4
A5015477857,Frank Bicaba,4,4
A5015999334,Erika Eldrenkamp,4,4
A5016621933,Mala Rao,4,4
A5017340575,Md. Shafiur Rahman,4,4
A5018311050,Dean T. Jamison,4,4
A5019756223,Jean‐Louis Koulidiati,4,4
A5020090944,Nele van der Wielen,4,4
A5021615354,Hermann Pythagore Pierre Donfouet,4,4
A5022331752,Cristiana Abbafati,4,4
A5022360800,Timothy Abuya,4,4
A5023083016,Aleksandra Barać,4,4
A5023911306,Ayako Honda,4,4
A5024165680,Sverre Grepperud,4,4
A5024763793,Marwân‐al‐Qays Bousmah,4,4
A5025988070,Ashish Awasthi,4,4
A5026317493,Anthony Kusi,4,4
A5026404880,James F. Phillips,4,4
A5026677367,Helen Schneider,4,4
A5027122119,Prossy Kiddu Namyalo,4,4
A5028043034,Reza Alizadeh‐Navaei,4,4
A5028415743,Paul Joseph Amani,4,4
A5029707198,Negalign Berhanu Bayou,4,4
A5030086633,Edith Patouillard,4,4
A5031533618,Rahab Mbau,4,4
A5031673421,Andrea B Feigl,4,4
A5032344410,Samath Dhamminda Dharmaratne,4,4
A5033412548,Chijioke Okoli,4,4
A5033522829,Ala’a Alkerwi,4,4
A5033700904,Manassé Nimpagaritse,4,4
A5033870443,Roger Antabe,4,4
A5034112344,Suzan Makawia,4,4
A5035783800,Manfred Stoermer,4,4
A5037073470,Richard de Groot,4,4
A5037653500,Daniëlla Brals,4,4
A5038975641,Usha Ram,4,4
A5041121403,Joseph Asumah Braimah,4,4
A5041217350,Nicole Atchessi,4,4
A5043944364,Praveen Gedam,4,4
A5044997265,Mirkuzie Woldie,4,4
A5046220823,Tesfay Mehari Atey,4,4
A5047839783,Sylvie Boyer,4,4
A5048876130,Louis Niessen,4,4
A5050215170,Ferrán Catalá-López,4,4
A5050840807,Anthony Kwame Morgan,4,4
A5053055211,Elina Dale,4,4
A5053374516,Nicole Rosendaal,4,4
A5053608234,Chinyere Mbachu,4,4
A5053745988,Charles Birungi,4,4
A5054882379,Bertha Garshong,4,4
A5054890844,Lizzy M. Brewster,4,4
A5056482160,Osman Sankoh,4,4
A5056551664,Eddy van Doorslaer,4,4
A5058346245,Muluken Azage,4,4
A5059214756,Bona Chitah,4,4
A5059565770,Jyoti Dixit,4,4
A5061313716,Resham B. Khatri,4,4
A5064736600,Thomas Druetz,4,4
A5066412681,W. K. Asenso‐Okyere,4,4
A5066572811,Delia Hendrie,4,4
A5067141162,Geetha R. Menon,4,4
A5069424216,Pascal Ndiaye,4,4
A5070502897,Vipul Aggarwal,4,4
A5070569884,Kenneth Munge,4,4
A5073252701,Clas Rehnberg,4,4
A5073263237,Juliet Nabyonga Orem,4,4
A5073510291,Kayode Agbede,4,4
A5073572573,Robert Yates,4,4
A5076965925,Chris Atim,4,4
A5079579995,Gowokani Chijere Chirwa,4,4
A5079741975,Miguel San Sebastiån,4,4
A5083333103,Stephen Jan,4,4
A5084209015,Koustuv Dalal,4,4
A5084280324,Felician Andrew Kitole,4,4
A5085039888,Milena Pavlova,4,4
A5085926025,Constance Schultsz,4,4
A5086034103,Francis Ruiz,4,4
A5087306386,Ali Kiadaliri,4,4
A5089634381,Michael Hillebrecht,4,4
A5090152128,Ejemai Eboreime,4,4
A5100326257,Rajesh Kumar,4,4
A5100326264,Rajesh Kumar,4,4
A5108145336,Constance Schultsz,4,4
A5109564183,Thomas Maina,4,4
A5110613774,Jitihada Baraka,4,4
A5003844121,Esso‐Hanam Atake,4,3
A5004604110,Susanne Ziegler,4,3
A5005006019,Crick Lund,4,3
A5010424921,Sharmishtha Basu,4,3
A5013048286,Karl Blanchet,4,3
A5014762523,Mizan Habtemichael,4,3
A5015160949,Dorairaj Prabhakaran,4,3
A5015721492,Joseph Kamara,4,3
A5016673935,Owen O’Donnell,4,3
A5017353000,Unni Gopinathan,4,3
A5017800597,Daniel Ankrah,4,3
A5019111621,Festus Njuguna,4,3
A5019826466,Don P. Mathanga,4,3
A5020417588,Gilbert Burnham,4,3
A5021389513,Marie‐Gloriose Ingabire,4,3
A5021515535,Ottar Mæstad,4,3
A5021562039,Sapna Desai,4,3
A5022903321,Syed Abdul Hamid,4,3
A5024268072,Shepherd Shamu,4,3
A5026683049,Robert Michael Lihawa,4,3
A5027213068,Senia Nhamo,4,3
A5027254701,Sumaiyah Docrat,4,3
A5027320968,Martin McKee,4,3
A5029961086,Syed Mohamed Aljunid,4,3
A5030280606,Denise Magne Tamga,4,3
A5032700506,Mamadou Sanon,4,3
A5032892466,Yingxi Zhao,4,3
A5033997606,Nurnabi Sheikh,4,3
A5034401364,Neha Singh,4,3
A5037358167,Rolle Remi Ahuru,4,3
A5039677345,Bala Krishnamoorthy,4,3
A5040023987,Yohannes Hailemichael,4,3
A5041809147,Gerald Manthalu,4,3
A5043037950,Gertjan J.L. Kaspers,4,3
A5043039752,Saskia Mostert,4,3
A5043068752,Hervé Hien,4,3
A5044554714,Asmamaw Atnafu,4,3
A5048096884,Augustina Koduah,4,3
A5049306512,Joël Arthur Kiendrébéogo,4,3
A5056314691,Habakkuk Azinyui Yumo,4,3
A5056543395,Prabal V. Singh,4,3
A5057445720,Agnès Binagwaho,4,3
A5057938135,François Niragire,4,3
A5057958913,Aashima Aashima,4,3
A5060364635,Hélène Barroy,4,3
A5061586017,Siddhesh Zadey,4,3
A5064062589,Tony Zitti,4,3
A5065634167,Terry A. Vik,4,3
A5068725438,Yikeber Abebaw Moyehodie,4,3
A5069745224,Inge Hutter,4,3
A5071748796,Habtamu Endashaw Hareru,4,3
A5071793521,Yogesh Rajkotia,4,3
A5073249119,Siri Lange,4,3
A5074334059,Emmanuella Zamba,4,3
A5076656219,Marleen Dekker,4,3
A5077214951,Atalay Alem,4,3
A5078204032,Marion Cros,4,3
A5078317688,Paul Oladapo Ajayi,4,3
A5079888826,Umesh Prasad Bhusal,4,3
A5081992322,Richardson Kojo Edeme,4,3
A5082693040,Peter Otieno,4,3
A5083833596,Igna Bonfrer,4,3
A5084936253,Michael R. Reich,4,3
A5087826705,Justo Lorenzo Bermejo,4,3
A5090651230,Chhabi Lal Ranabhat,4,3
A5101533260,Asmamaw Atnafu,4,3
A5101590127,Kassimu Tani,4,3
A5101911438,Charu C. Garg,4,3
A5102146220,Bhimsen Devkota,4,3
A5112381820,Sanni Yaya,4,3
A5113482256,Nkoli Uguru,4,3
A5114072152,Abebaw Fekadu,4,3
A5004829345,Rachel Cassidy,4,2
A5013954480,Adrianna Murphy,4,2
A5017257916,Ufuoma John Ejughemre,4,2
A5017880455,Vincent Somville,4,2
A5018090999,Upama Baral,4,2
A5019708062,Ivy Amankwah,4,2
A5022017005,Sylvester Mensah,4,2
A5022172758,Dennis Cornelissen,4,2
A5022277035,Gazi Golam Mehdi,4,2
A5024485986,Wanja Mwaura-Tenambergen,4,2
A5028491950,Isabelle Feldhaus,4,2
A5028577578,Zahidul Quayyum,4,2
A5034052957,Mesay Hailu Dangisso,4,2
A5035027967,Funmilola Wuraola,4,2
A5035052704,Mamadou Selly Ly,4,2
A5043298289,Cheikh Tacko Diop,4,2
A5044922930,Oshima Sachin,4,2
A5044972870,Pankras Luoga,4,2
A5045230696,Muluken Argaw,4,2
A5045288021,Armando Arredondo,4,2
A5045397336,Kavita Singh,4,2
A5046205202,Arnold Kihaule,4,2
A5046502738,Srikant Nagulapalli,4,2
A5049617586,Temitope Ilori,4,2
A5049984983,Øystein Ariansen Haaland,4,2
A5051280025,Pragyan Monalisa Sahoo,4,2
A5052383318,Brian Asare,4,2
A5055469129,Hassan Njie,4,2
A5061251112,Matthew Quaife,4,2
A5062564274,Tia Palermo,4,2
A5066033411,Edwin Were,4,2
A5068855753,Sudim Sharma,4,2
A5071808285,Wanja Tenambergen,4,2
A5075171590,Shuhei Nomura,4,2
