work_id,year,period,first_country_known,first_target,corr_country_known,corr_target,international_collaboration,n_author_countries,studied_count
W3199109466,2021,2021-2026,True,True,True,True,False,1,1
W3201309632,2021,2021-2026,True,True,True,True,False,1,1
W3204772998,2021,2021-2026,True,False,False,,True,2,1
W3205085361,2021,2021-2026,True,False,True,False,False,1,1
W3207979942,2021,2021-2026,False,,False,,False,0,1
W3209358875,2021,2021-2026,False,,False,,False,0,1
W3209578170,2021,2021-2026,True,True,False,,False,1,1
W3210667708,2021,2021-2026,True,True,True,True,True,2,1
W3211894718,2021,2021-2026,True,True,False,,False,1,1
W3215301191,2021,2021-2026,True,False,True,False,False,1,1
W4205644942,2021,2021-2026,False,,False,,False,0,1
W4212998877,2021,2021-2026,True,True,True,True,False,1,1
W4214865396,2021,2021-2026,True,False,True,False,False,1,1
W4287428404,2021,2021-2026,False,,False,,False,0,1
W4287522988,2021,2021-2026,False,,False,,False,0,1
W4289976414,2021,2021-2026,True,True,False,,True,2,1
W4291327357,2021,2021-2026,False,,False,,False,0,1
W4291327358,2021,2021-2026,False,,False,,False,0,1
W4293128074,2021,2021-2026,False,,False,,False,0,1
W4411448622,2021,2021-2026,True,True,False,,False,1,1
W7128300194,2021,2021-2026,True,True,True,True,True,2,1
W7171995165,2021,2021-2026,False,,False,,False,0,1
W7201083972,2021,2021-2026,False,,False,,False,0,1
W3119502440,2021,2021-2026,True,False,True,False,False,1,0
W3119095493,2021,2021-2026,True,True,False,,True,2,1
W3120762771,2021,2021-2026,True,False,True,False,True,2,1
W3126947277,2021,2021-2026,True,True,False,,False,1,1
W4407382811,2021,2021-2026,True,True,False,,False,1,1
W3121755168,2021,2021-2026,True,True,False,,False,1,1
W3111031952,2021,2021-2026,True,True,True,True,False,1,1
W3120605809,2021,2021-2026,True,True,True,True,False,1,1
W3121645082,2021,2021-2026,True,True,False,,False,1,1
W3119191785,2021,2021-2026,True,True,True,True,False,1,1
W3132668258,2021,2021-2026,False,,False,,False,0,1
W3121572168,2021,2021-2026,True,True,True,True,False,1,1
W3126139912,2021,2021-2026,True,True,True,True,False,1,1
W3123389186,2021,2021-2026,True,True,True,True,False,1,1
