work_id,year,period,theme
W2297684678,2000,1990-2004,Insurance/prepayment
W2003738442,2000,1990-2004,User fees/cost sharing
W7128372427,2000,1990-2004,Insurance/prepayment
W7128372427,2000,1990-2004,Financial protection/OOP
W7128400596,2000,1990-2004,Insurance/prepayment
W7128400596,2000,1990-2004,Financial protection/OOP
W1565410334,2000,1990-2004,Insurance/prepayment
W2594517637,2000,1990-2004,User fees/cost sharing
W7128357378,2000,1990-2004,Insurance/prepayment
W7128357378,2000,1990-2004,Financial protection/OOP
W7128357378,2000,1990-2004,User fees/cost sharing
W7128401698,2000,1990-2004,Insurance/prepayment
W7128401698,2000,1990-2004,Financial protection/OOP
W7128401698,2000,1990-2004,User fees/cost sharing
W7130694389,2000,1990-2004,Insurance/prepayment
W7130701805,2000,1990-2004,Insurance/prepayment
W7128356388,2000,1990-2004,Insurance/prepayment
W7128356388,2000,1990-2004,Financial protection/OOP
W7128369058,2000,1990-2004,Insurance/prepayment
W7128369058,2000,1990-2004,Financial protection/OOP
W7130690463,2000,1990-2004,Insurance/prepayment
W7130703867,2000,1990-2004,Insurance/prepayment
W2088180457,2000,1990-2004,Insurance/prepayment
W2396611401,2000,1990-2004,Financial protection/OOP
W2396611401,2000,1990-2004,User fees/cost sharing
W2096900823,2001,1990-2004,Insurance/prepayment
W2171274229,2001,1990-2004,User fees/cost sharing
W981788629,2001,1990-2004,Insurance/prepayment
W7128306233,2001,1990-2004,User fees/cost sharing
W7128308272,2001,1990-2004,User fees/cost sharing
W12995869,2001,1990-2004,User fees/cost sharing
W12995869,2001,1990-2004,Willingness to pay
W2093531875,2001,1990-2004,Insurance/prepayment
W2093531875,2001,1990-2004,Pooling
W2093531875,2001,1990-2004,Willingness to pay
W1982830265,2001,1990-2004,Insurance/prepayment
W1982830265,2001,1990-2004,Financial protection/OOP
W4213206683,2001,1990-2004,Insurance/prepayment
W2036248797,2001,1990-2004,Insurance/prepayment
W2115827027,2001,1990-2004,User fees/cost sharing
W2155328308,2001,1990-2004,Financial protection/OOP
W2155328308,2001,1990-2004,Revenue/public financing
W7131097549,2001,1990-2004,Insurance/prepayment
W7131097549,2001,1990-2004,Financial protection/OOP
W7131107615,2001,1990-2004,Insurance/prepayment
W7131107615,2001,1990-2004,Financial protection/OOP
W2124172110,2001,1990-2004,Insurance/prepayment
W2069529770,2001,1990-2004,User fees/cost sharing
W1526079862,2002,1990-2004,Insurance/prepayment
W1526079862,2002,1990-2004,Financial protection/OOP
W1551086479,2002,1990-2004,User fees/cost sharing
W2096969338,2002,1990-2004,Insurance/prepayment
W2096969338,2002,1990-2004,Financial protection/OOP
W2098225443,2002,1990-2004,Insurance/prepayment
W2255215246,2002,1990-2004,Insurance/prepayment
W2626081743,2002,1990-2004,Insurance/prepayment
W2626081743,2002,1990-2004,User fees/cost sharing
W2753551881,2002,1990-2004,Insurance/prepayment
W3140321450,2002,1990-2004,Insurance/prepayment
W7131091553,2002,1990-2004,Insurance/prepayment
W7131126326,2002,1990-2004,Insurance/prepayment
W2018331508,2002,1990-2004,User fees/cost sharing
W2061505836,2002,1990-2004,Insurance/prepayment
W2061505836,2002,1990-2004,Willingness to pay
W2139088999,2002,1990-2004,Insurance/prepayment
W1987680890,2002,1990-2004,Insurance/prepayment
W1987680890,2002,1990-2004,User fees/cost sharing
W7131242066,2002,1990-2004,Insurance/prepayment
W7131249349,2002,1990-2004,Insurance/prepayment
W1147947042,2002,1990-2004,Revenue/public financing
W2154889135,2002,1990-2004,Revenue/public financing
W2170262181,2002,1990-2004,User fees/cost sharing
W2054010214,2002,1990-2004,User fees/cost sharing
W2080953408,2002,1990-2004,Revenue/public financing
W2159243235,2002,1990-2004,User fees/cost sharing
W7134807586,2002,1990-2004,Insurance/prepayment
W7134807586,2002,1990-2004,Financial protection/OOP
W7134807586,2002,1990-2004,Revenue/public financing
W7134813687,2002,1990-2004,Insurance/prepayment
W7134813687,2002,1990-2004,Financial protection/OOP
W7134813687,2002,1990-2004,Revenue/public financing
W1964218604,2003,1990-2004,Insurance/prepayment
W2021831132,2003,1990-2004,Insurance/prepayment
W2097367275,2003,1990-2004,Insurance/prepayment
W2097367275,2003,1990-2004,Financial protection/OOP
W2396647745,2003,1990-2004,Insurance/prepayment
W2396647745,2003,1990-2004,Financial protection/OOP
W2396647745,2003,1990-2004,User fees/cost sharing
W4399242733,2003,1990-2004,Insurance/prepayment
W1527449740,2003,1990-2004,Insurance/prepayment
W2159763303,2003,1990-2004,User fees/cost sharing
W401625219,2003,1990-2004,User fees/cost sharing
W1986502480,2003,1990-2004,Insurance/prepayment
W2052813448,2003,1990-2004,Financial protection/OOP
W7131247946,2003,1990-2004,Insurance/prepayment
W7131309110,2003,1990-2004,Insurance/prepayment
W7131275855,2003,1990-2004,Insurance/prepayment
W7131302552,2003,1990-2004,Insurance/prepayment
W2064092222,2003,1990-2004,User fees/cost sharing
W2064188751,2003,1990-2004,Insurance/prepayment
W2151482750,2003,1990-2004,Insurance/prepayment
W1995361834,2003,1990-2004,Financial protection/OOP
W2130792261,2003,1990-2004,Financial protection/OOP
W2166174302,2003,1990-2004,Insurance/prepayment
W2416821716,2003,1990-2004,Financial protection/OOP
W1978636458,2003,1990-2004,Insurance/prepayment
W1978636458,2003,1990-2004,Revenue/public financing
W2139402916,2003,1990-2004,Insurance/prepayment
W1976089603,2003,1990-2004,Insurance/prepayment
W2036460252,2003,1990-2004,User fees/cost sharing
W2036460252,2003,1990-2004,Willingness to pay
W3013748429,2003,1990-2004,Insurance/prepayment
W2149003731,2003,1990-2004,User fees/cost sharing
W1503758158,2004,1990-2004,Insurance/prepayment
W1518619307,2004,1990-2004,Insurance/prepayment
W1974617460,2004,1990-2004,User fees/cost sharing
W2056284807,2004,1990-2004,User fees/cost sharing
W2119255184,2004,1990-2004,Insurance/prepayment
W217916963,2004,1990-2004,Revenue/public financing
W2242137476,2004,1990-2004,Insurance/prepayment
W2287171832,2004,1990-2004,Financial protection/OOP
W2418339349,2004,1990-2004,Insurance/prepayment
W2520441209,2004,1990-2004,Insurance/prepayment
W2738549349,2004,1990-2004,User fees/cost sharing
W2785749246,2004,1990-2004,Insurance/prepayment
W2805671332,2004,1990-2004,Insurance/prepayment
W2915141268,2004,1990-2004,Insurance/prepayment
W3201145119,2004,1990-2004,Insurance/prepayment
W7199457211,2004,1990-2004,User fees/cost sharing
W2016834351,2004,1990-2004,Insurance/prepayment
W1974833527,2004,1990-2004,Insurance/prepayment
W2045435898,2004,1990-2004,Insurance/prepayment
W2113109834,2004,1990-2004,Insurance/prepayment
W2113109834,2004,1990-2004,Willingness to pay
W7131651194,2004,1990-2004,Insurance/prepayment
W7131678864,2004,1990-2004,Insurance/prepayment
W2160101293,2004,1990-2004,User fees/cost sharing
W2482991958,2004,1990-2004,Insurance/prepayment
W7131624117,2004,1990-2004,Insurance/prepayment
W7131644032,2004,1990-2004,Insurance/prepayment
W2084498671,2004,1990-2004,Insurance/prepayment
W2088997733,2004,1990-2004,Insurance/prepayment
W2093394727,2004,1990-2004,Insurance/prepayment
W2011803017,2004,1990-2004,Insurance/prepayment
W2141505973,2004,1990-2004,Financial protection/OOP
W2141505973,2004,1990-2004,User fees/cost sharing
W7131623718,2004,1990-2004,Insurance/prepayment
W7131623718,2004,1990-2004,Financial protection/OOP
W7131658718,2004,1990-2004,Insurance/prepayment
W7131658718,2004,1990-2004,Financial protection/OOP
W7131833526,2004,1990-2004,Insurance/prepayment
W7131870455,2004,1990-2004,Insurance/prepayment
W1973682484,2004,1990-2004,Insurance/prepayment
W2068556673,2004,1990-2004,Insurance/prepayment
W2115011764,2004,1990-2004,Insurance/prepayment
W2115011764,2004,1990-2004,Financial protection/OOP
W2146328835,2004,1990-2004,Insurance/prepayment
W2146328835,2004,1990-2004,Financial protection/OOP
W2146328835,2004,1990-2004,User fees/cost sharing
W7131625836,2004,1990-2004,Insurance/prepayment
W7131681406,2004,1990-2004,Insurance/prepayment
W2088277493,2004,1990-2004,User fees/cost sharing
W7131824097,2004,1990-2004,Insurance/prepayment
W7131891664,2004,1990-2004,Insurance/prepayment
W7131846791,2004,1990-2004,Insurance/prepayment
W7131860120,2004,1990-2004,Insurance/prepayment
W1982236033,2004,1990-2004,User fees/cost sharing
W1850383037,2004,1990-2004,User fees/cost sharing
W2753665610,2004,1990-2004,User fees/cost sharing
W1516968758,2005,2005-2010,Insurance/prepayment
W2233328515,2005,2005-2010,Insurance/prepayment
W2233328515,2005,2005-2010,Financial protection/OOP
W2276732711,2005,2005-2010,Financial protection/OOP
W2276732711,2005,2005-2010,Revenue/public financing
W2276732711,2005,2005-2010,User fees/cost sharing
W2626698004,2005,2005-2010,User fees/cost sharing
W1984965363,2005,2005-2010,Insurance/prepayment
W2125553998,2005,2005-2010,Insurance/prepayment
W2125553998,2005,2005-2010,Financial protection/OOP
W1992231976,2005,2005-2010,Insurance/prepayment
W1992231976,2005,2005-2010,Financial protection/OOP
W2037131397,2005,2005-2010,Insurance/prepayment
W3124915523,2005,2005-2010,User fees/cost sharing
W2015387837,2005,2005-2010,User fees/cost sharing
W3004027619,2005,2005-2010,Insurance/prepayment
W2050468852,2005,2005-2010,User fees/cost sharing
W2046606328,2005,2005-2010,User fees/cost sharing
W7133123382,2005,2005-2010,Insurance/prepayment
W7133123382,2005,2005-2010,Financial protection/OOP
W7133136199,2005,2005-2010,Insurance/prepayment
W7133136199,2005,2005-2010,Financial protection/OOP
W7132818935,2005,2005-2010,Insurance/prepayment
W7132850320,2005,2005-2010,Insurance/prepayment
W2144978826,2005,2005-2010,User fees/cost sharing
W2409304250,2005,2005-2010,User fees/cost sharing
W1976408195,2005,2005-2010,Insurance/prepayment
W7132824097,2005,2005-2010,Insurance/prepayment
W7132836817,2005,2005-2010,Insurance/prepayment
W7131863264,2005,2005-2010,Insurance/prepayment
W7131871883,2005,2005-2010,Insurance/prepayment
W2058806358,2005,2005-2010,Insurance/prepayment
W1014991778,2005,2005-2010,User fees/cost sharing
W2060347839,2005,2005-2010,Insurance/prepayment
W2031976398,2005,2005-2010,User fees/cost sharing
W2029108737,2005,2005-2010,Insurance/prepayment
W2029108737,2005,2005-2010,Financial protection/OOP
W2029108737,2005,2005-2010,User fees/cost sharing
W1957699273,2005,2005-2010,User fees/cost sharing
W2013955600,2005,2005-2010,Insurance/prepayment
W2019013274,2005,2005-2010,Insurance/prepayment
W2162134907,2005,2005-2010,Insurance/prepayment
W2135263195,2005,2005-2010,Financial protection/OOP
W2135263195,2005,2005-2010,User fees/cost sharing
W4396588492,2005,2005-2010,Financial protection/OOP
W7131831438,2005,2005-2010,Insurance/prepayment
W7131844740,2005,2005-2010,Insurance/prepayment
W16420272,2006,2005-2010,Insurance/prepayment
W2087983276,2006,2005-2010,User fees/cost sharing
W2348281363,2006,2005-2010,Insurance/prepayment
W2565792105,2006,2005-2010,Insurance/prepayment
W3010147706,2006,2005-2010,Insurance/prepayment
W3010147706,2006,2005-2010,Financial protection/OOP
W3010147706,2006,2005-2010,Revenue/public financing
W3010147706,2006,2005-2010,User fees/cost sharing
W1986820232,2006,2005-2010,Insurance/prepayment
W1986820232,2006,2005-2010,Financial protection/OOP
W2063453297,2006,2005-2010,User fees/cost sharing
W7133196010,2006,2005-2010,Insurance/prepayment
W7133217083,2006,2005-2010,Insurance/prepayment
W2024508784,2006,2005-2010,User fees/cost sharing
W2075551326,2006,2005-2010,Revenue/public financing
W2018165022,2006,2005-2010,Financial protection/OOP
W2022963726,2006,2005-2010,User fees/cost sharing
W2095000104,2006,2005-2010,Insurance/prepayment
W2017924912,2006,2005-2010,Insurance/prepayment
W7133199547,2006,2005-2010,Insurance/prepayment
W7133216224,2006,2005-2010,Insurance/prepayment
W2141233142,2006,2005-2010,Insurance/prepayment
W2046299851,2006,2005-2010,Insurance/prepayment
W2144685409,2006,2005-2010,Insurance/prepayment
W2144685409,2006,2005-2010,Willingness to pay
W3185885307,2006,2005-2010,Insurance/prepayment
W3185885307,2006,2005-2010,Financial protection/OOP
W3125999747,2006,2005-2010,Insurance/prepayment
W1976737856,2006,2005-2010,Insurance/prepayment
W1976737856,2006,2005-2010,Financial protection/OOP
W7133211013,2006,2005-2010,Insurance/prepayment
W7133235192,2006,2005-2010,Insurance/prepayment
W2129427091,2006,2005-2010,Performance-based financing
W2149691825,2006,2005-2010,Insurance/prepayment
W2975002061,2006,2005-2010,Insurance/prepayment
W2975002061,2006,2005-2010,Financial protection/OOP
W2975002061,2006,2005-2010,User fees/cost sharing
W2104615087,2006,2005-2010,User fees/cost sharing
W2418806815,2006,2005-2010,Insurance/prepayment
W2418806815,2006,2005-2010,Financial protection/OOP
W2418806815,2006,2005-2010,User fees/cost sharing
W3122274823,2006,2005-2010,Insurance/prepayment
W2168497665,2006,2005-2010,Insurance/prepayment
W2168497665,2006,2005-2010,Purchasing/provider payment
W2168497665,2006,2005-2010,User fees/cost sharing
W2009996099,2006,2005-2010,Insurance/prepayment
W1782005721,2007,2005-2010,Insurance/prepayment
W1964348349,2007,2005-2010,Insurance/prepayment
W1964348349,2007,2005-2010,Financial protection/OOP
W1964348349,2007,2005-2010,User fees/cost sharing
W2017127235,2007,2005-2010,User fees/cost sharing
W2184457845,2007,2005-2010,User fees/cost sharing
W2294868541,2007,2005-2010,Insurance/prepayment
W2294868541,2007,2005-2010,Financial protection/OOP
W2787026461,2007,2005-2010,Insurance/prepayment
W4321635223,2007,2005-2010,Insurance/prepayment
W611904926,2007,2005-2010,Insurance/prepayment
W634210394,2007,2005-2010,User fees/cost sharing
W6966798914,2007,2005-2010,Insurance/prepayment
W7116065055,2007,2005-2010,Insurance/prepayment
W7116065055,2007,2005-2010,User fees/cost sharing
W2063845273,2007,2005-2010,Insurance/prepayment
W2063845273,2007,2005-2010,User fees/cost sharing
W2745158619,2007,2005-2010,User fees/cost sharing
W2158737809,2007,2005-2010,Insurance/prepayment
W2158737809,2007,2005-2010,Financial protection/OOP
W1978762554,2007,2005-2010,Insurance/prepayment
W2153621997,2007,2005-2010,User fees/cost sharing
W2153621997,2007,2005-2010,Willingness to pay
W767269083,2007,2005-2010,Insurance/prepayment
W767269083,2007,2005-2010,Purchasing/provider payment
W767269083,2007,2005-2010,User fees/cost sharing
W2106664903,2007,2005-2010,Insurance/prepayment
W2106664903,2007,2005-2010,Financial protection/OOP
W2131256423,2007,2005-2010,User fees/cost sharing
W1968761924,2007,2005-2010,Insurance/prepayment
W2157330284,2007,2005-2010,Insurance/prepayment
W1930012473,2007,2005-2010,Insurance/prepayment
W7133315140,2007,2005-2010,Insurance/prepayment
W7133360235,2007,2005-2010,Insurance/prepayment
W2129103815,2007,2005-2010,Financial protection/OOP
W2536359454,2007,2005-2010,User fees/cost sharing
W7133321653,2007,2005-2010,Insurance/prepayment
W7133321653,2007,2005-2010,User fees/cost sharing
W7133340753,2007,2005-2010,Insurance/prepayment
W7133340753,2007,2005-2010,User fees/cost sharing
W2081911259,2007,2005-2010,Insurance/prepayment
W2081911259,2007,2005-2010,User fees/cost sharing
W1985188225,2007,2005-2010,Insurance/prepayment
W117691792,2007,2005-2010,Insurance/prepayment
W117691792,2007,2005-2010,Financial protection/OOP
W117691792,2007,2005-2010,Revenue/public financing
W216853604,2007,2005-2010,Insurance/prepayment
W2292071879,2007,2005-2010,Insurance/prepayment
W2936613884,2007,2005-2010,User fees/cost sharing
W2047901916,2007,2005-2010,User fees/cost sharing
W201708200,2007,2005-2010,Insurance/prepayment
W201708200,2007,2005-2010,Financial protection/OOP
W2139639454,2007,2005-2010,Insurance/prepayment
W2337732241,2007,2005-2010,Insurance/prepayment
W2337732241,2007,2005-2010,Financial protection/OOP
W1972086559,2007,2005-2010,Insurance/prepayment
W2075449345,2007,2005-2010,Insurance/prepayment
W2075449345,2007,2005-2010,Financial protection/OOP
W7128304810,2007,2005-2010,Insurance/prepayment
W7128310767,2007,2005-2010,Insurance/prepayment
W1984157398,2007,2005-2010,Insurance/prepayment
W1984157398,2007,2005-2010,User fees/cost sharing
W2158301499,2007,2005-2010,Revenue/public financing
W2168902876,2007,2005-2010,Insurance/prepayment
W643840108,2007,2005-2010,User fees/cost sharing
W2277109011,2007,2005-2010,Insurance/prepayment
W2277109011,2007,2005-2010,Financial protection/OOP
W835533863,2007,2005-2010,Financial protection/OOP
W2029975719,2007,2005-2010,Insurance/prepayment
W3122433576,2007,2005-2010,Insurance/prepayment
W2093161076,2007,2005-2010,Insurance/prepayment
W1929141563,2007,2005-2010,Financial protection/OOP
W1929141563,2007,2005-2010,User fees/cost sharing
W2161933266,2007,2005-2010,Insurance/prepayment
W7133504260,2007,2005-2010,Insurance/prepayment
W7133504260,2007,2005-2010,Financial protection/OOP
W7133519406,2007,2005-2010,Insurance/prepayment
W7133519406,2007,2005-2010,Financial protection/OOP
W2013370437,2007,2005-2010,Insurance/prepayment
W2528237813,2007,2005-2010,User fees/cost sharing
W2622970365,2007,2005-2010,Insurance/prepayment
W2622970365,2007,2005-2010,Pooling
W152371,2008,2005-2010,User fees/cost sharing
W1577940492,2008,2005-2010,Insurance/prepayment
W1964610875,2008,2005-2010,Financial protection/OOP
W1981389471,2008,2005-2010,User fees/cost sharing
W2040077123,2008,2005-2010,Revenue/public financing
W2040077123,2008,2005-2010,External financing
W2141718762,2008,2005-2010,Insurance/prepayment
W2158358215,2008,2005-2010,Financial protection/OOP
W2158358215,2008,2005-2010,User fees/cost sharing
W2171863813,2008,2005-2010,Financial protection/OOP
W2185924709,2008,2005-2010,User fees/cost sharing
W2189326394,2008,2005-2010,Financial protection/OOP
W2263675135,2008,2005-2010,Insurance/prepayment
W2274310933,2008,2005-2010,Insurance/prepayment
W2550966059,2008,2005-2010,Insurance/prepayment
W2625491258,2008,2005-2010,Revenue/public financing
W78478898,2008,2005-2010,Revenue/public financing
W811236792,2008,2005-2010,Insurance/prepayment
W7133529922,2008,2005-2010,Insurance/prepayment
W7133542920,2008,2005-2010,Insurance/prepayment
W2141836141,2008,2005-2010,Insurance/prepayment
W1576853008,2008,2005-2010,Insurance/prepayment
W1576853008,2008,2005-2010,Financial protection/OOP
W1576853008,2008,2005-2010,User fees/cost sharing
W1576853008,2008,2005-2010,Willingness to pay
W1971028749,2008,2005-2010,Insurance/prepayment
W2004745343,2008,2005-2010,Insurance/prepayment
W2082262203,2008,2005-2010,Insurance/prepayment
W2082262203,2008,2005-2010,Pooling
W2300769307,2008,2005-2010,User fees/cost sharing
W1849673240,2008,2005-2010,User fees/cost sharing
W2091955131,2008,2005-2010,Insurance/prepayment
W1995026540,2008,2005-2010,Insurance/prepayment
W2081142866,2008,2005-2010,Insurance/prepayment
W2566145704,2008,2005-2010,Insurance/prepayment
W2297197934,2008,2005-2010,Financial protection/OOP
W7133707086,2008,2005-2010,Insurance/prepayment
W7133883593,2008,2005-2010,Insurance/prepayment
W2038921220,2008,2005-2010,Insurance/prepayment
W2038921220,2008,2005-2010,Financial protection/OOP
W2038921220,2008,2005-2010,User fees/cost sharing
W2097898435,2008,2005-2010,Insurance/prepayment
W2060761733,2008,2005-2010,User fees/cost sharing
W2112265786,2008,2005-2010,Revenue/public financing
W7133492457,2008,2005-2010,Insurance/prepayment
W7133535567,2008,2005-2010,Insurance/prepayment
W7133596317,2008,2005-2010,Insurance/prepayment
W7133596317,2008,2005-2010,Financial protection/OOP
W7133717605,2008,2005-2010,Insurance/prepayment
W7133717605,2008,2005-2010,Financial protection/OOP
W2292704311,2008,2005-2010,Insurance/prepayment
W2292704311,2008,2005-2010,Financial protection/OOP
W2292704311,2008,2005-2010,Revenue/public financing
W2053578727,2008,2005-2010,Insurance/prepayment
W2053578727,2008,2005-2010,Financial protection/OOP
W2109496744,2008,2005-2010,Insurance/prepayment
W2137137984,2008,2005-2010,Insurance/prepayment
W2682099009,2008,2005-2010,Insurance/prepayment
W81300498,2008,2005-2010,Revenue/public financing
W7133671830,2008,2005-2010,Insurance/prepayment
W7133671830,2008,2005-2010,Financial protection/OOP
W7133959631,2008,2005-2010,Insurance/prepayment
W7133959631,2008,2005-2010,Financial protection/OOP
W2084459675,2008,2005-2010,Performance-based financing
W2084459675,2008,2005-2010,User fees/cost sharing
W2531614394,2008,2005-2010,Revenue/public financing
W7133488767,2008,2005-2010,Insurance/prepayment
W7133549393,2008,2005-2010,Insurance/prepayment
W2164656681,2008,2005-2010,Insurance/prepayment
W2042853072,2008,2005-2010,Insurance/prepayment
W1411504076,2008,2005-2010,Insurance/prepayment
W7133653622,2008,2005-2010,Insurance/prepayment
W7133782100,2008,2005-2010,Insurance/prepayment
W2161339587,2008,2005-2010,Insurance/prepayment
W2161339587,2008,2005-2010,Financial protection/OOP
W2161339587,2008,2005-2010,Revenue/public financing
W2161339587,2008,2005-2010,User fees/cost sharing
W1970933339,2008,2005-2010,Insurance/prepayment
W2044203638,2008,2005-2010,Financial protection/OOP
W2113270076,2008,2005-2010,Revenue/public financing
W2113270076,2008,2005-2010,External financing
W2614488324,2008,2005-2010,Revenue/public financing
W2614488324,2008,2005-2010,External financing
W2170598542,2008,2005-2010,Revenue/public financing
W7133607123,2008,2005-2010,Insurance/prepayment
W7133607123,2008,2005-2010,Financial protection/OOP
W7133910107,2008,2005-2010,Insurance/prepayment
W7133910107,2008,2005-2010,Financial protection/OOP
W2101045591,2008,2005-2010,Financial protection/OOP
W2101045591,2008,2005-2010,User fees/cost sharing
W2012190861,2008,2005-2010,Insurance/prepayment
W1993699110,2008,2005-2010,User fees/cost sharing
W1588628247,2009,2005-2010,Insurance/prepayment
W2059376866,2009,2005-2010,User fees/cost sharing
W2150182604,2009,2005-2010,User fees/cost sharing
W2170746509,2009,2005-2010,Insurance/prepayment
W2366801289,2009,2005-2010,Financial protection/OOP
W2470368371,2009,2005-2010,User fees/cost sharing
W2477408153,2009,2005-2010,User fees/cost sharing
W2576098151,2009,2005-2010,Insurance/prepayment
W2776851780,2009,2005-2010,Performance-based financing
W2950330156,2009,2005-2010,Insurance/prepayment
W2993636376,2009,2005-2010,Insurance/prepayment
W2993636376,2009,2005-2010,Financial protection/OOP
W3157172520,2009,2005-2010,Insurance/prepayment
W40160677,2009,2005-2010,Insurance/prepayment
W40574678,2009,2005-2010,Insurance/prepayment
W4252832899,2009,2005-2010,Insurance/prepayment
W1977874966,2009,2005-2010,Financial protection/OOP
W2096790511,2009,2005-2010,Insurance/prepayment
W4390856915,2009,2005-2010,Financial protection/OOP
W2006348277,2009,2005-2010,Insurance/prepayment
W1971611286,2009,2005-2010,Revenue/public financing
W2114837773,2009,2005-2010,Financial protection/OOP
W2090279254,2009,2005-2010,User fees/cost sharing
W2006767515,2009,2005-2010,User fees/cost sharing
W2031570565,2009,2005-2010,Insurance/prepayment
W2031570565,2009,2005-2010,Financial protection/OOP
W2118541429,2009,2005-2010,Financial protection/OOP
W2118541429,2009,2005-2010,User fees/cost sharing
W2041565281,2009,2005-2010,Insurance/prepayment
W2061514863,2009,2005-2010,User fees/cost sharing
W1981075066,2009,2005-2010,Insurance/prepayment
W2012586735,2009,2005-2010,Insurance/prepayment
W2010634437,2009,2005-2010,Insurance/prepayment
W2010634437,2009,2005-2010,Financial protection/OOP
W2527925316,2009,2005-2010,User fees/cost sharing
W2062393093,2009,2005-2010,User fees/cost sharing
W2100997311,2009,2005-2010,Financial protection/OOP
W2100997311,2009,2005-2010,Purchasing/provider payment
W2100997311,2009,2005-2010,User fees/cost sharing
W2051345813,2009,2005-2010,Insurance/prepayment
W2755355810,2009,2005-2010,Insurance/prepayment
W185164454,2009,2005-2010,Insurance/prepayment
W2095731774,2009,2005-2010,Insurance/prepayment
W2095731774,2009,2005-2010,Financial protection/OOP
W2615367946,2009,2005-2010,Insurance/prepayment
W2615367946,2009,2005-2010,Financial protection/OOP
W2615367946,2009,2005-2010,Purchasing/provider payment
W2624606582,2009,2005-2010,Insurance/prepayment
W7134133191,2009,2005-2010,Insurance/prepayment
W7134139472,2009,2005-2010,Insurance/prepayment
W2079694953,2009,2005-2010,Revenue/public financing
W7132888447,2009,2005-2010,Financial protection/OOP
W2116109518,2009,2005-2010,User fees/cost sharing
W4232119637,2009,2005-2010,Insurance/prepayment
W2152308396,2009,2005-2010,User fees/cost sharing
