reference_id,local_citations
W2920277606,25
W3122669444,25
W1201749067,25
W2144065913,25
W2101045591,25
W3170531845,25
W2162944270,25
W624747968,25
W2062393093,25
W2972383937,25
W2616192098,24
W2985610084,24
W1521743399,24
W2159805452,24
W2602623443,24
W3098924975,24
W2936084556,24
W2897450480,24
W1597079531,24
W2956028902,24
W2549367001,24
W2103936907,24
W2051202685,24
W2596338535,24
W2782664530,24
W2072196589,24
W2885132852,24
W2785749246,24
W2621009304,24
W2117458500,24
W3176682987,24
W2134569055,24
W2602285313,24
W2171327980,24
W1970401165,24
W2104590203,24
W1987867263,24
W2046838990,24
W4362640801,24
W3013405220,24
W2098543936,24
W2415145613,24
W2139088999,24
W3109715853,23
W2566686317,23
W2139007023,23
W2797129769,23
W2904723606,23
W1879951614,23
W2163669837,23
W2128248134,23
W3182711571,23
W2795452920,23
W229539680,23
W2154199732,23
W1504207457,23
W2758254055,23
W2067375381,23
W2126074718,23
W2164081166,23
W2006479099,23
W2130302151,23
W2111280152,23
W2073107253,23
W2163269294,23
W4211198432,23
W2991303002,23
W2146328835,23
W2023989186,22
W2139122730,22
W4244599339,22
W2061738125,22
W4229335008,22
W2756449730,22
W2194955989,22
W2733011392,22
W2105747399,22
W2027548245,22
W2140986327,22
W2059376866,22
W2162439524,22
W2286123824,22
W2104112465,22
W2113662455,22
W2143635718,22
W2170100840,22
W1714723801,22
W2793161995,22
W2124758339,22
W2092553616,22
W2031622010,22
W2159589632,22
W2157243936,22
W2150974793,22
W1982830265,22
W6676397217,22
W1969119654,22
W2724951808,22
W2475895157,22
W2149003731,22
W2127302215,22
W2158737809,22
W4220845119,22
W2898471392,22
W2148456082,22
W2897881613,22
W3137750772,22
W2171889289,22
W4288400169,22
W2043861297,22
W1904896664,22
W2139726867,22
W4206258442,22
W1538200198,22
W2140433287,22
W2130404399,22
W3089893416,21
W2914494683,21
W2168799770,21
W2605428344,21
W99295644,21
W2166815587,21
W2085199617,21
W1774562913,21
W1557506292,21
W1972715650,21
W1798571521,21
W2149616848,21
W2129697894,21
W1985366327,21
W3086915092,21
W1913544977,21
W2531734542,21
W1914972138,21
W2146891197,21
W2145442411,21
W2166428722,21
W2172189721,21
W2121570040,21
W3125601827,21
W2056668980,21
W1576853008,21
W1992807835,21
W2359957288,21
W2084498671,21
W2080297739,21
W2118806012,21
W1991971124,21
W2130348380,21
W2918463797,21
W2916589975,21
W2805870372,21
W2121929370,21
W2128833673,21
W2605793149,21
W2756654780,21
W2801332385,21
W2159264195,21
W1797846795,21
W4320288076,21
W2169966626,21
W1966910378,21
W2154958688,21
W1976770755,21
W1836020176,21
W2106780373,21
W1991473824,21
W2154208140,21
W2804103463,21
W2013462529,20
W2136762111,20
W2154310644,20
W2971334116,20
W2519013430,20
W2028656868,20
W2476715990,20
W2805032000,20
W3093623985,20
W4206075704,20
W39827011,20
W2115801153,20
W2077391681,20
W2173404461,20
W3122115800,20
W2072063065,20
W2336295655,20
W2164814804,20
W4317543142,20
W4383293709,20
W2003000165,20
W2598319394,20
W3122312879,20
W4224108448,20
W1975575752,20
W2000428533,20
W2971782522,20
W318596442,20
W2891701191,20
W2009288217,20
W2128990265,20
W1978116696,20
W2080378479,20
W1975014063,20
W1994549611,20
W2056123551,20
W40574678,20
W3119076279,20
W1985188225,20
W3161985084,20
W2115585637,20
W2029008402,20
W3012441154,20
W3121610914,20
W4385662888,20
W2025521903,20
W3157791538,20
W2148018380,19
W2149966302,19
W8757186,19
W4285077465,19
W2148589458,19
W2618659287,19
W2146419731,19
W2942215430,19
W1968364035,19
W2029108737,19
W2794150731,19
W2111563482,19
W3000665504,19
W2149534555,19
W2142266278,19
W1500933664,19
W2745187776,19
W3121251166,19
W4248871729,19
W1978762554,19
W3130690995,19
W2120108463,19
W3003707546,19
W2805505463,19
W3111880970,19
W566149836,19
W4382237540,19
W2040776619,19
W2052813448,19
W2145959030,19
W2608473798,19
W3005372782,19
W2786117346,19
W2792376555,19
W2155757507,19
W2104586338,19
W2106385890,19
W2096588186,19
W1522395368,19
W2215111820,19
W2174876092,19
W3120106258,19
W2025742919,19
W3158276293,19
W2153951272,19
W2290658790,19
W2156109180,19
W2149759828,19
W2608480217,19
W2060761733,19
W2256120588,18
W1991379132,18
W2782185527,18
W2774714536,18
W2155414841,18
W4200583207,18
W3045053563,18
W70109115,18
W2211725992,18
W4292219955,18
W2960240509,18
W2035439810,18
W2770047670,18
W2091652854,18
W2105457488,18
W3047870957,18
W2147900160,18
W4310222645,18
W2074059565,18
W2954307162,18
W2198846339,18
W3136174473,18
W2773048374,18
W2343559692,18
W2972331992,18
W2617834844,18
W3110712347,18
W2527316544,18
W3215848504,18
W3005770889,18
W2339262930,18
W2062749423,18
W2471018567,18
W2783875468,18
W2080500817,18
W2585057317,18
W3122274823,18
W2461509061,18
W2231804013,18
W2150620050,18
W2321654804,18
W2125815057,17
W2152308396,17
W2014407480,17
W2125857025,17
W4247090362,17
W2126437652,17
W2076659595,17
W2109934825,17
W2009214075,17
W3125712239,17
W1975550520,17
W3160151102,17
W2100111087,17
W2142126032,17
W1578327312,17
W1986107854,17
W1979559150,17
W2795609817,17
W2977560806,17
W2156504984,17
W2515812925,17
W2011817637,17
W2148140066,17
W2144439572,17
W2145099222,17
W4280534534,17
W2169315585,17
W3165496212,17
W2002759467,17
W1834943088,17
W3004841834,17
W2601832851,17
W1970926607,17
W1975439124,17
W2133881081,17
W2790454730,17
W1975398584,17
W1508461984,17
W3081146717,17
W1645164932,17
W1578581679,17
W2166259027,17
W2076293271,17
W3177623847,17
W2090034152,17
W2886520620,17
W4244527176,17
W2062810281,17
W1995889995,17
W3214945580,17
W2079628800,17
W2811507058,17
W2092598412,17
W86645374,17
W2121034459,17
W2075527122,17
W2765740714,17
W1487760132,17
W2754799758,17
W2012024804,17
W2128724322,16
W2108150050,16
W3081692353,16
W2091187922,16
W2104625244,16
W1972171060,16
W2995833317,16
W2122623329,16
W2091711197,16
W3036674917,16
W2105774435,16
W2471812698,16
W2587040090,16
W6698804083,16
W2156446261,16
W4210275673,16
W2136958407,16
W2183683065,16
W2912549667,16
W2611637852,16
W2044894402,16
W2151482750,16
W2133421922,16
W2336186317,16
W2472851771,16
W3022274619,16
W650632371,16
W3121264553,16
W2337732241,16
W2521603034,16
W2800479309,16
W2009996099,16
W2311987185,16
W3020859334,16
W2165099433,16
W3017331013,16
W2546600682,16
W2249314550,16
W2942368047,16
W3151465182,16
W2183488396,16
W2153342071,16
W2884810548,16
W1966745785,16
W2081423141,16
W1893993862,16
W2118541429,16
W2294603341,16
W2611860875,16
W2996883435,16
W2896467115,16
W2068948979,16
W1945899390,16
W2962027811,16
W2064092222,16
W2153526232,16
W2127163030,16
W2096015732,16
W2934990189,16
W2880576664,16
W2159629435,16
W2520644434,16
W2133416497,16
W2726739027,16
W2934562666,15
W3106528666,15
W1979779539,15
W2079431107,15
W2806554384,15
W2750969357,15
W2038848827,15
W2047196134,15
W2157481220,15
W2060579913,15
W1974206274,15
W1585158207,15
W2278961180,15
W2111767427,15
W592980815,15
W3011865677,15
W2094873822,15
W2017924912,15
W2110171650,15
W2534758525,15
W2135277023,15
W2138664283,15
W4224259757,15
W2138419200,15
W1984102575,15
W1997660179,15
W2138685100,15
W2149098154,15
W2075551326,15
W6635523610,15
W2134026240,15
W1500606220,15
W2964896111,15
W2007565970,15
W2311860458,15
W2800094334,15
W2058869603,15
W1978704354,15
W2921942266,15
W1972995831,15
W2157679390,15
W570038204,15
W2794960288,15
W4386227275,15
W4251119890,15
W1878689483,15
W2262736290,15
W2591003523,15
W3122876956,15
W1730782591,15
W2333083026,15
W2153178742,15
W2274773620,15
W1488587137,15
W2031641351,15
W1590621261,15
W2096684396,15
W2025130786,15
W2128089623,15
W2788322008,15
W2062801263,15
W2159669956,15
W3215645239,15
W4299689471,15
W2606664208,15
W4214931647,15
W2607038984,15
W1987638209,15
W1903244327,15
W2465282122,15
W1522118325,15
W3108288403,15
W2170868743,15
W1595046345,15
W2136755691,15
W2028018920,14
W2110603299,14
W1985140318,14
W59741413,14
W2751639243,14
W1973792105,14
W2128086948,14
W4380863748,14
W4284706547,14
W2760480946,14
W4255706522,14
W2165360302,14
W2782073483,14
W2045414851,14
W3008195158,14
W23320856,14
W2130145981,14
W2562202572,14
W2218430854,14
W3138725132,14
W225729213,14
W4353014967,14
W3124089137,14
W3158832075,14
W2096972424,14
W2109853056,14
W1519828626,14
W2046344191,14
W2947077894,14
W2121905454,14
W4280525184,14
W3014566028,14
W2020940699,14
W2048408623,14
W2203033021,14
W2092054331,14
W2149727681,14
W2102807580,14
W2340672215,14
W4386759556,14
W3155908596,14
W2161314259,14
W2119853104,14
W2121077246,14
W2625288976,14
W1528641501,14
W3048709494,14
W2609963187,14
W2105381422,14
W2049451402,14
W6677310835,14
W3159565877,14
W2028426787,14
W4283808027,14
W2078156623,14
W4226043484,14
W2505099696,14
W2947667858,14
W3118615836,14
W4392145873,14
W22357514,14
W117340746,14
W2124621020,14
W2054658861,14
W2914674587,14
W2731642545,14
W2789475861,14
W2171001078,14
W2133102473,14
W2921473255,14
W1983074746,14
W2133469585,14
W2090682017,14
W2740353780,14
W2113726274,14
W3095444997,14
W2099697766,14
W2064955526,14
W2038438259,14
W2171416943,14
W2129499530,14
W2894234659,14
W2787359055,14
W2795947510,14
W2020935088,14
W2081142866,14
W4285237232,14
W2220068833,14
W1995410581,14
W3123420286,14
W2087984707,14
W2516105881,14
W2060347839,14
W2738833087,14
W2766048625,13
W4292155355,13
W2969455288,13
W3144040573,13
W3020281166,13
W1966643791,13
W2993636376,13
W2412601016,13
W2105290135,13
W4311506835,13
W2589973700,13
W2159243235,13
W4386746106,13
W2003399068,13
W3163999281,13
W2941926021,13
W2118836230,13
W1956782950,13
W2734373255,13
W2894005935,13
W6681874190,13
W3123389186,13
W2126739913,13
W2143430754,13
W2335000809,13
W2111320175,13
W2888858351,13
W2221926516,13
W2043449557,13
W2901486299,13
W2266896491,13
W2100997311,13
W1498011419,13
W1986820232,13
W1484300399,13
W4220899717,13
W2095594357,13
W2125151799,13
W2791796883,13
W2938541072,13
W3030359336,13
W2118800444,13
W3122078042,13
W2003044746,13
W2164872775,13
W4292440792,13
W2168899978,13
W2144395095,13
W2791534840,13
W2030799990,13
W4293354603,13
W2107999364,13
W3021062337,13
W2117806352,13
W2075950485,13
W2120370613,13
W2045512163,13
W316791950,13
W2130805214,13
W3128294410,13
W2883164366,13
W4210822021,13
W2118976535,13
W1531138443,13
W2156756279,13
W2095706833,13
W2911528143,13
W3179342822,13
W2170142774,13
W4321442163,13
W3145451057,13
W1965609301,13
W2967459475,13
W2136893785,13
W1805814889,13
W2955455290,13
W2181875152,13
W2149831428,13
W4292508150,13
W3042280389,13
W1603545696,13
W3184477805,13
W3009983698,13
W1949474621,13
W1995813713,13
W3011691683,13
W2887362152,13
W4280561378,13
W2171274229,13
W1865198042,13
W2996213823,13
W1966084090,13
W2802792428,13
W3172295726,13
W6683422347,13
W2528660959,13
W2940164145,13
W4385484360,13
W2119915169,13
W1488837473,13
W2265514836,13
W2166680167,13
W2898023264,13
W2160932092,13
W2797351793,13
W2559008866,13
W1994387878,13
W1581042275,13
W2569146336,13
W2999175786,13
W2111454379,13
W2528602003,13
W2596463461,13
W2070115907,13
W2044392985,12
W2141505973,12
W6748635939,12
W2114695710,12
W2029676503,12
W1986248368,12
W2990543113,12
W3012714359,12
W2101313387,12
W2597042743,12
W2103638685,12
W3048237873,12
W3142800273,12
W2067458321,12
W2057520563,12
W4310959042,12
W2296650754,12
W2166831952,12
W2808823227,12
W3088311118,12
W2957958554,12
W3019893597,12
W2725322002,12
W2085028749,12
W3011712238,12
W1788430703,12
W2768653505,12
W1976666127,12
W1565006496,12
W3122178585,12
W2796136442,12
W3209980579,12
W2108626767,12
W2744409800,12
W2789892463,12
W4300143307,12
W2153535381,12
W2211773055,12
W2202269152,12
W2164178637,12
W4311993301,12
W4226506629,12
W1988496256,12
W4304092412,12
W2899507951,12
W1490708694,12
W2212946077,12
W4361016261,12
W2098632310,12
W1976701881,12
W1974617460,12
W2139153837,12
W2427638540,12
W2807464039,12
W3156854407,12
W1560894790,12
W2186752675,12
W2581455737,12
W2121776806,12
W2046363656,12
W2572650656,12
W2904188226,12
W2175954218,12
W2113932133,12
W625016096,12
W2124186414,12
W2151196985,12
W2117433142,12
W4307846579,12
W4223493019,12
W1901106024,12
W2064188751,12
W2092744458,12
W2008211577,12
W2171667688,12
W2124197677,12
W4225774149,12
W1789106803,12
W2044395152,12
W2165208658,12
W2824531766,12
W2127397653,12
W2104827149,12
W3087715450,12
W4319297485,12
W2438322500,12
W2124487294,12
W2063605216,12
W2070541816,12
W3194433701,12
W2099833367,12
W3124276655,12
W1869181570,12
W2148526596,12
W2158803414,12
W2947380608,12
W2914680591,12
W2385106589,12
W2092834803,12
W2081706853,12
W2054265061,12
W1964468437,12
W4256578005,12
W2174688447,12
W4200368740,12
W2154130911,12
W79948616,12
W2116580380,12
W6675070202,12
W4294215472,12
W1486773356,12
W1579760457,12
W2128850858,11
W2897443860,11
W2992447135,11
W2795757601,11
W3135733685,11
W3123078933,11
W1594294799,11
W3135715434,11
W2466781893,11
W1548368641,11
W4295292867,11
W2131483437,11
W2028826510,11
W2008944100,11
W2909461113,11
W2051345813,11
W3173149923,11
W2037927976,11
W2392206694,11
W2913331068,11
W2917623223,11
W3173479668,11
W2095760344,11
W645599348,11
W2071207241,11
W2808621406,11
W1567833720,11
W2119731464,11
W2156098321,11
W2797940964,11
W1499947119,11
W2594075087,11
W2316062949,11
W2262217868,11
W2129029755,11
W2093512640,11
W2605983154,11
W1506964279,11
W2805196360,11
W2122047846,11
W2971406182,11
W2759696865,11
W2966845150,11
W2043715002,11
W1541807959,11
W6747652657,11
W2124172110,11
W2544054306,11
W2895984367,11
W2553993186,11
W2154734315,11
W3122943391,11
W2613534620,11
W1840218356,11
W1589275176,11
W2973770764,11
W2917059200,11
W2057835492,11
W1582933274,11
W2070288000,11
W2894651396,11
W2123721762,11
W4321004086,11
W2740474871,11
W2108225351,11
W2078169015,11
W2002920516,11
W4214620722,11
W4362667555,11
W4323665961,11
W4306898460,11
W2214685914,11
W2919114815,11
W2755579718,11
W4291020284,11
W2134203589,11
W2161339587,11
W1973948212,11
W2011705640,11
W2165674970,11
W3048446315,11
W2851515025,11
W2886924394,11
W2143814355,11
W2958195859,11
W2108556356,11
W2624267132,11
W3139890683,11
W2037318494,11
W2337265010,11
W3085492512,11
W2054615669,11
W2846058884,11
W2135376674,11
W2022586162,11
W2995215166,11
W2058717814,11
W2068166689,11
W2168414695,11
W4232944805,11
W3140370190,11
W2041451296,11
W3125419750,11
W4252277488,11
W1540897798,11
W2027206957,11
W1999290554,11
W2140147013,11
W2904305928,11
W2044228739,11
W6727544639,11
W1995416328,11
W1929141563,11
W2128938742,11
W4394959422,11
W2152787247,11
W2146368075,11
W1893938325,11
W2117610596,11
W1964540119,11
W2935995840,11
W2624708287,11
W3173514474,11
W2153314884,11
W2010634437,11
W3107964117,11
W1972086559,11
W2185874833,11
W2734052717,11
W4253170022,11
W2140069888,11
W3126658660,11
W2751884637,11
W1990734297,11
W3023885219,11
W2999176455,11
W4245552571,11
W2344497510,11
W2621002388,11
W2153646932,11
W2496246347,11
W2996736258,11
W2989775795,11
W2144065373,11
W3195580287,11
W2889713071,11
W3032621235,11
W1502374245,11
W2779399899,10
W2470755097,10
W2556838780,10
W2782442346,10
W2160009727,10
W6669636539,10
W2100491888,10
W2058689460,10
W2015041900,10
W2785647286,10
W1981354568,10
W2103025907,10
W3124840394,10
W2012346998,10
W2781894283,10
W1564965187,10
W3121837631,10
W2580242591,10
W2015379124,10
W6678964805,10
W1668955000,10
W2124142618,10
W2601384590,10
W3121893250,10
W6629841188,10
W2009671183,10
W1720007412,10
W2285966647,10
W4317433948,10
W2397292131,10
W2390008750,10
W2076265468,10
W2168497665,10
W2807392465,10
W2337449659,10
W2127835884,10
W2164539492,10
W4225376792,10
W3214833809,10
W2889493743,10
W1564575579,10
W2028233728,10
W2135082193,10
W2090345601,10
W2163850587,10
W1526059148,10
W2317819857,10
W3197240520,10
W1995038861,10
W1689771227,10
W2225176856,10
W2142113972,10
W2097367275,10
W2609049347,10
W2559471624,10
W2528788334,10
W1982971874,10
W2757624671,10
W4300817962,10
W2029076931,10
W2110997380,10
W2783543776,10
W2288915161,10
W2000787009,10
W2073572036,10
W1489164952,10
W2138982411,10
W2588659678,10
W2129786971,10
W1974221744,10
W2034421566,10
W2990296912,10
W2065936186,10
W2035468404,10
W1983340699,10
W2097950056,10
W2136411806,10
W2131309922,10
W1532364165,10
W1752782313,10
W3195443028,10
W3123192902,10
W2400013419,10
W4401516183,10
W3125187143,10
W4282834624,10
W91788314,10
W2270205814,10
W2535490604,10
W2155644070,10
W4224230739,10
W2226975094,10
W2765087592,10
W2586978861,10
W2481396062,10
W156958478,10
W2093446488,10
W3023615305,10
W3128646645,10
W2889988734,10
W104219978,10
W2496675928,10
W2151895360,10
W2067543398,10
W2115059495,10
W4385576162,10
W2891423662,10
W3123974754,10
W4206424406,10
W2942775446,10
W3122816604,10
W2334328322,10
W4235678817,10
W2065971689,10
W2152666807,10
W2587290811,10
W2016008891,10
W3022196478,10
W2960231910,10
W3152685575,10
W2343238779,10
W6684404381,10
W2741172500,10
W3113768752,10
W2989956389,10
W2898891055,10
W2164090891,10
W2403732203,10
W3036642752,10
W2142225512,10
W2107112569,10
W2067984141,10
W2467041377,10
W2937643061,10
W2891378911,10
W2903019509,10
W4400948341,10
W2505689751,10
W2117481645,10
W1990196695,10
W2050809849,10
W973833294,10
W2150680980,10
W1831571067,10
W2743861908,10
W2607847662,10
W2088104295,10
W2023743327,10
W2587723691,10
W2126006162,10
W1565893470,10
W2054513190,10
W2006125272,10
W2790335437,10
W2807632235,10
W2344596143,10
W3125728329,10
W3153316708,10
W2999274207,10
W2795234188,10
W2900905493,10
W2793293175,10
W2063681798,10
W2751343588,10
W2148410071,10
W2115938495,10
W2065519703,10
W2583424591,10
W3092575285,10
W3124380383,10
W2113461266,10
W1606578283,10
W2900547728,10
W2044007380,10
W2089096037,10
W2102905683,10
W4391253669,10
W2587739600,10
W4302283738,10
W2057020415,10
W2020061452,10
W4241532663,10
W2902824949,10
W2115644050,10
W2782126971,10
W2112267124,10
W2804276810,10
W1601890345,10
W2181447890,10
W1507549819,10
W2133582787,10
W2790886963,10
W2184296920,9
W3010411908,9
W1992624063,9
W2607171982,9
W1601517327,9
W2006282638,9
W1927412365,9
W3111604709,9
W2467750347,9
W1527264370,9
W2013489503,9
W1998900477,9
W4367838955,9
W2254255467,9
W1845342086,9
W2421983366,9
W4328049572,9
W1956791092,9
W2770518721,9
W2127365334,9
W2060832211,9
W2065422275,9
W2654438086,9
W2119772757,9
W2158301499,9
W6990422071,9
W3080219561,9
W2117513178,9
W3087776717,9
W3147428377,9
W2136002985,9
W1532011672,9
W3125782084,9
W2773354292,9
W3111391632,9
W1686571287,9
W2276780831,9
W4211198361,9
W2092354705,9
W3189448282,9
W2046654605,9
W2291993607,9
W1970933339,9
W1989477135,9
W2083232952,9
W2751259005,9
W1572320709,9
W2508070799,9
W1595267491,9
W2167571715,9
W3036357894,9
W2030184703,9
W2798142707,9
W6713749975,9
W1983707297,9
W2155749250,9
W1972781974,9
W1983316453,9
W2901409012,9
W2150431204,9
W3206476513,9
W176602216,9
W1998519178,9
W2094171166,9
W2507907290,9
W1993699110,9
W4404692726,9
W4223518859,9
W4320856262,9
W2735883447,9
W2106545047,9
W2809442566,9
W2036721462,9
W2550464690,9
W2253274572,9
W3142878510,9
W3013808022,9
W2145362657,9
W3047365713,9
W4210300298,9
W2018619944,9
W1565914121,9
W3031824665,9
W4281649576,9
W6683669528,9
W2126876702,9
W4313208553,9
W2148607508,9
W2756082167,9
W2901621121,9
W2011412723,9
W3125151972,9
W2008639564,9
W3100359396,9
W3024605660,9
W144013203,9
W3002762467,9
W2942290845,9
W1982028990,9
W2487248097,9
W2123256658,9
W3087037258,9
W2122328334,9
W2096307308,9
W4405349345,9
W1909119024,9
W2051124167,9
W6630120334,9
W6683703738,9
W4281836967,9
W1769466830,9
W2034906941,9
W3117758835,9
W651665359,9
W1556808170,9
W2595517553,9
W2808754183,9
W2084154288,9
W2117890106,9
W2961472528,9
W2970582834,9
W2109745229,9
W2124861520,9
W4379057602,9
W3124484153,9
W2160059989,9
W1501069528,9
W2118239967,9
W2070631858,9
W2966794115,9
W2166974667,9
W2127406033,9
W2529525825,9
W2080061756,9
W2418112180,9
W2043551598,9
W1492127447,9
W2059810025,9
W4389334736,9
W2110613307,9
W2021180317,9
W2786765055,9
W2100775497,9
W2042025917,9
W2345768382,9
W2132322248,9
W1533079942,9
W2079533829,9
W2107248229,9
W2095281104,9
W2182422038,9
W3197645637,9
W2145362008,9
W2102738074,9
W3121928109,9
W2133357558,9
W2154986790,9
W3159864805,9
W4234197187,9
W115394847,9
W2337316715,9
W2190328026,9
W4256190137,9
W2896519275,9
W2043340392,9
W2940757498,9
W2470373670,9
W2150919686,9
W1988774117,9
W2366306352,9
W2413701092,9
W2008344801,9
W2287685961,9
W2041616439,9
W1994974610,9
W2121488352,9
W2314551533,9
W2899731980,9
W2164418618,9
W4376956843,9
W12496815,9
W6639147236,9
W2170473632,9
W4283391445,9
