ref1,ref2,cocitations
W2132441191,W2153603229,4
W2006696925,W2061316418,4
W2006696925,W2196182430,4
W2044203638,W2108970446,4
W2119775317,W2801838590,4
W2147456678,W2196182430,4
W2041725211,W3123188741,4
W2112093136,W2516915067,4
W2150517994,W2585592226,4
W2061316418,W2132666096,4
W2115011764,W4230973621,4
W2110203502,W2132441191,4
W1997866269,W2019013274,4
W2132441191,W2795223612,4
W2147456678,W2795223612,4
W1997866269,W2801838590,4
W1582873904,W2147456678,4
W2125902622,W2147456678,4
W2585592226,W3123188741,4
W2516915067,W3122664795,4
W2004745343,W2096969338,4
W2150517994,W3123188741,4
W2152846959,W3123188741,4
W2031976398,W2161933266,4
W2109725907,W2116542195,4
W1997866269,W2108970446,4
W2601005047,W3122664795,4
W2168477744,W3122664795,4
W2004804433,W2128442162,4
W2102858050,W2168477744,4
W2044203638,W2132666096,4
W2128442162,W2168477744,4
W2132666096,W2149691825,4
W2004804433,W2124360428,4
W1981075066,W2102858050,4
W1841733224,W2149849126,4
W2096969338,W2116542195,4
W1841733224,W2801838590,4
W1841733224,W2125902622,4
W1841733224,W2156885153,4
W2125902622,W3122664795,4
W2124360428,W2161933266,4
W2041725211,W2116975872,4
W1841733224,W2041725211,4
W2108970446,W3122664795,4
W2110203502,W2132666096,4
W2041725211,W2109725907,4
W2044203638,W2110203502,4
W2044203638,W2149691825,4
W2149691825,W2161933266,4
W2140155984,W3122664795,4
W2170964814,W3122664795,4
W2110203502,W3122664795,4
W1981075066,W2044203638,4
W2152846959,W2153603229,4
W2153025271,W2196182430,4
W1981075066,W3122664795,4
W2112093136,W2153603229,4
W2102858050,W2128442162,4
W1981075066,W2128442162,4
W2031976398,W2142114494,4
W2096969338,W2112093136,4
W2004745343,W2170964814,4
W2109725907,W2112093136,4
W2114027117,W2170964814,4
W2116542195,W2170964814,4
W2016834351,W2153603229,4
W2115011764,W2153603229,4
W2117812349,W2132441191,4
W3123188741,W4252307431,4
W2031976398,W4252307431,4
W2006696925,W2516915067,4
W2041725211,W2137321576,4
W1841733224,W2019013274,4
W1841733224,W2132441191,4
W2110203502,W2795223612,4
W2006696925,W2019013274,4
W2006696925,W2170964814,4
W2102858050,W2153025271,4
W1981075066,W2108970446,4
W2149849126,W2795223612,4
W2516915067,W2601005047,4
W2601005047,W2795223612,4
W2041725211,W2140155984,4
W2031976398,W2096969338,4
W2109725907,W2140155984,4
W2117812349,W2772759979,3
W2153603229,W2801838590,3
W2044203638,W2795223612,3
W2114027117,W3122664795,3
W2126583499,W2132666096,3
W2096969338,W2128442162,3
W2128442162,W4230973621,3
W1981075066,W2549703245,3
W2061316418,W2109725907,3
W2031976398,W2147456678,3
W1997866269,W2147456678,3
W2126583499,W2147456678,3
W2116975872,W2142114494,3
W2006696925,W2116975872,3
W2044203638,W2549703245,3
W2585592226,W3122664795,3
W2170964814,W2795223612,3
W1981075066,W4230973621,3
W2004804433,W2549703245,3
W2016834351,W2772759979,3
W2004745343,W2549703245,3
W2549703245,W2585592226,3
W2150517994,W2196182430,3
W2585592226,W4252307431,3
W1841733224,W2016834351,3
W2004804433,W2196182430,3
W2004804433,W2516915067,3
W2140155984,W2153603229,3
W2108970446,W2150517994,3
W2124360428,W2137321576,3
W2108970446,W2128442162,3
W2149691825,W2150517994,3
W2006696925,W2150517994,3
W2102858050,W2112093136,3
W1841733224,W2601005047,3
W2115011764,W2601005047,3
W2109725907,W4252307431,3
W2046034301,W3122664795,3
W2006696925,W2031976398,3
W1841733224,W2046034301,3
W2004804433,W2109725907,3
W2019013274,W2116975872,3
W2019013274,W2117812349,3
W2061316418,W2116975872,3
W2156885153,W3122664795,3
W2128442162,W2196182430,3
W2006696925,W2149691825,3
W2108970446,W2149691825,3
W2019013274,W2168477744,3
W2110203502,W2137321576,3
W2116542195,W2152846959,3
W2128442162,W2149849126,3
W2128442162,W2152846959,3
W2137321576,W4252307431,3
W1997866269,W2006696925,3
W2019013274,W2150517994,3
W2102858050,W2150517994,3
W2096969338,W2110203502,3
W1841733224,W2161933266,3
W1997866269,W2585592226,3
W2061316418,W2153025271,3
W2117812349,W2125849337,3
W2153603229,W2585592226,3
W2006696925,W2152846959,3
W2110203502,W2152846959,3
W2116542195,W2585592226,3
W2147456678,W2168477744,3
W2152846959,W2168477744,3
W2168477744,W2585592226,3
W2096969338,W2114027117,3
W2096969338,W2161933266,3
W2116542195,W2147456678,3
W1997866269,W2125902622,3
W2061316418,W2108970446,3
W2044203638,W4230973621,3
W2128442162,W2795223612,3
W2132441191,W2147456678,3
W2109725907,W2110203502,3
W2109725907,W2132441191,3
W2140155984,W2549703245,3
W2041725211,W2801838590,3
W2150517994,W2549703245,3
W2006696925,W4252307431,3
W2044203638,W4252307431,3
W1981075066,W2112093136,3
W1841733224,W2124360428,3
W2116975872,W2772759979,3
W2132666096,W2795223612,3
W2124360428,W4252307431,3
W2137321576,W2142114494,3
W2102858050,W2108970446,3
W2044203638,W2142114494,3
W2046034301,W2140155984,3
W2046034301,W2149691825,3
W2161933266,W4252307431,3
W2125902622,W2161933266,3
W2044203638,W2168477744,3
W1841733224,W2152846959,3
W1997866269,W2168477744,3
W2137321576,W2153025271,3
W2031976398,W2110203502,3
W2031976398,W2116542195,3
W1981075066,W2125849337,3
W2112093136,W2149691825,3
W2004745343,W2142114494,3
W2142114494,W2152846959,3
W2061316418,W3122664795,3
W2153025271,W4230973621,3
W4230973621,W4252307431,3
W2110203502,W2149691825,3
