ref1,ref2,cocitations
W2153025271,W3122664795,3
W2004745343,W2110203502,3
W1997866269,W2117812349,3
W2110203502,W2549703245,3
W1841733224,W2108970446,3
W2132666096,W2170964814,3
W1981075066,W2147456678,3
W2147456678,W2149691825,3
W2031976398,W4230973621,3
W1841733224,W2006696925,3
W1841733224,W2114027117,3
W1841733224,W2116542195,3
W1841733224,W2128442162,3
W2125849337,W2795223612,3
W2016834351,W2601005047,3
W2147456678,W4252307431,3
W1841733224,W2153025271,3
W2016834351,W3123188741,3
W2132441191,W3123188741,3
W2016834351,W2031976398,3
W2004804433,W2142114494,3
W2044203638,W2140155984,3
W2044203638,W3122664795,3
W2153025271,W2772759979,3
W2153025271,W2585592226,3
W2150517994,W4230973621,3
W2147456678,W2549703245,3
W2153603229,W2601005047,3
W2110203502,W2116975872,3
W1997866269,W2149849126,3
W2140155984,W2168477744,3
W2041725211,W4230973621,3
W2031976398,W2115011764,3
W2102858050,W3122664795,3
W2128442162,W4252307431,3
W2132441191,W2549703245,2
W2149691825,W2149849126,2
W2150517994,W2795223612,2
W2061316418,W2168477744,2
W2142114494,W2196182430,2
W2112093136,W4230973621,2
W2137321576,W2196182430,2
W1997866269,W2516915067,2
W2115011764,W4252307431,2
W2132666096,W2150517994,2
W2031976398,W2102858050,2
W2112093136,W2772759979,2
W2140155984,W4230973621,2
W2149691825,W2772759979,2
W2124360428,W2149849126,2
W2516915067,W2585592226,2
W2041725211,W2117812349,2
W2116975872,W2153025271,2
W2153025271,W2516915067,2
W2549703245,W3122664795,2
W2196182430,W3122664795,2
W1981075066,W2020999186,2
W2006696925,W2020999186,2
W2020999186,W2116542195,2
W2020999186,W2153603229,2
W2109725907,W2149691825,2
W2128442162,W2549703245,2
W2132666096,W2601005047,2
W2132441191,W2601005047,2
W2149849126,W2196182430,2
W2004804433,W2147456678,2
W2004804433,W4252307431,2
W2110203502,W4252307431,2
W2142114494,W4252307431,2
W2031976398,W2150517994,2
W2116542195,W2772759979,2
W2108970446,W4230973621,2
W2006696925,W3122664795,2
W2124360428,W2156885153,2
W2142114494,W2156885153,2
W2019013274,W2142114494,2
W2019013274,W4230973621,2
W2161933266,W4230973621,2
W1997866269,W2132666096,2
W2132666096,W2772759979,2
W2168477744,W2772759979,2
W2108970446,W2772759979,2
W2046034301,W2147456678,2
W2147456678,W2156885153,2
W2044203638,W2585592226,2
W1997866269,W2114027117,2
W2147456678,W2152846959,2
W2019013274,W2044203638,2
W1997866269,W2152846959,2
W2109725907,W2516915067,2
W1981075066,W2110203502,2
W2061316418,W2110203502,2
W2124360428,W2153603229,2
W2153025271,W2153603229,2
W2116975872,W4230973621,2
W2149691825,W4230973621,2
W2149691825,W4252307431,2
W1981075066,W1997866269,2
W1981075066,W2142114494,2
W2031976398,W2046034301,2
W2102858050,W2549703245,2
W2020999186,W2549703245,2
W2116975872,W2132441191,2
W2140155984,W2585592226,2
W2585592226,W2795223612,2
W2161933266,W2772759979,2
W1981075066,W2153025271,2
W2132666096,W2152846959,2
W2115011764,W2585592226,2
W2132666096,W2585592226,2
W2020999186,W4230973621,2
W2102858050,W2110203502,2
W2147456678,W2601005047,2
W2112093136,W2585592226,2
W2116542195,W2150517994,2
W2116542195,W2117812349,2
W2128442162,W2132666096,2
W2601005047,W4230973621,2
W2020999186,W2137321576,2
W2031976398,W2140155984,2
W2031976398,W2149691825,2
W1582873904,W2140155984,2
W2019013274,W2153603229,2
W2096969338,W2585592226,2
W2108970446,W2117812349,2
W2061316418,W2170964814,2
W2004745343,W2046034301,2
W2046034301,W2102858050,2
W2061316418,W2137321576,2
W2108970446,W2147456678,2
W1841733224,W2061316418,2
W1981075066,W2170964814,2
W2006696925,W2128442162,2
W2137321576,W2549703245,2
W2153025271,W2170964814,2
W2170964814,W2549703245,2
W2549703245,W3123188741,2
W2004745343,W4252307431,2
W1841733224,W2132666096,2
W2142114494,W3122664795,2
W2031976398,W2041725211,2
W2109725907,W2161933266,2
W1841733224,W2004745343,2
W2124360428,W2801838590,2
W2161933266,W2170964814,2
W2116542195,W2149849126,2
W2102858050,W2137321576,2
W2108970446,W2795223612,2
W2110203502,W2516915067,2
W2161933266,W2516915067,2
W2102858050,W2147456678,2
W2102858050,W4230973621,2
W2114027117,W4230973621,2
W2020999186,W2044203638,2
W2061316418,W2153603229,2
W2004804433,W2795223612,2
W2006696925,W2795223612,2
W2004804433,W2102858050,2
W2004804433,W2153603229,2
W2153603229,W2168477744,2
W2096969338,W2153025271,2
W2137321576,W2140155984,2
W2124360428,W3122664795,2
W2196182430,W2601005047,2
W2020999186,W2142114494,2
W2004745343,W2109725907,2
W2112093136,W2149849126,2
W2096969338,W2116975872,2
W2152846959,W2772759979,2
W2153603229,W2156885153,2
W2044203638,W2124360428,2
W2006696925,W2137321576,2
W2108970446,W2137321576,2
W2114027117,W2137321576,2
W2116542195,W2137321576,2
W2116542195,W2153603229,2
W2096969338,W2142114494,2
W2112093136,W2196182430,2
W1841733224,W2117812349,2
W2109725907,W2117812349,2
W2117812349,W2137321576,2
W2117812349,W2170964814,2
W2004804433,W2137321576,2
W2096969338,W2772759979,2
W2020999186,W2772759979,2
W2116975872,W2153603229,2
W2116975872,W2170964814,2
W2125902622,W2140155984,2
W2132441191,W2149849126,2
W2096969338,W2196182430,2
W2096969338,W2516915067,2
W2004745343,W3122664795,2
W2019013274,W2126583499,2
W2019013274,W3122664795,2
W1981075066,W2161933266,2
W2061316418,W2147456678,2
W2128442162,W2801838590,2
W2142114494,W2772759979,2
W2108970446,W2109725907,2
W2109725907,W2114027117,2
W2132666096,W4252307431,2
W2140155984,W4252307431,2
W2132441191,W2772759979,2
W2020999186,W3122664795,2
W2112093136,W2601005047,2
W1582873904,W4230973621,2
W2046034301,W4230973621,2
W2147456678,W2149849126,2
W2170964814,W2196182430,2
W2147456678,W2153603229,2
W2585592226,W4230973621,2
W2102858050,W2795223612,2
W2140155984,W2772759979,2
W2004804433,W2096969338,2
W2006696925,W2096969338,2
W2016834351,W3122664795,2
W2016834351,W2046034301,2
W2046034301,W2124360428,2
W2117812349,W2153025271,1
W1582873904,W2110203502,1
W2061316418,W4230973621,1
W1981075066,W2031976398,1
W1981075066,W2149849126,1
W2031976398,W2116975872,1
W2031976398,W2516915067,1
W2031976398,W2795223612,1
W2116975872,W2147456678,1
W2116975872,W2149849126,1
W2004804433,W4230973621,1
W2549703245,W2772759979,1
W2150517994,W2168477744,1
W2019013274,W4252307431,1
W1582873904,W2016834351,1
W1582873904,W2116542195,1
W1582873904,W2124360428,1
W1582873904,W2132441191,1
W1582873904,W2142114494,1
W1582873904,W2149691825,1
W2016834351,W2156885153,1
W2046034301,W2116542195,1
W2046034301,W2132441191,1
W2046034301,W2142114494,1
W2116542195,W2156885153,1
W2102858050,W2801838590,1
W2020999186,W2149691825,1
W2795223612,W4252307431,1
W2019013274,W2112093136,1
W2004745343,W2772759979,1
W2044203638,W2147456678,1
W2046034301,W2516915067,1
W2137321576,W2147456678,1
W2132666096,W2137321576,1
W2109725907,W2795223612,1
W2149691825,W2170964814,1
W2153603229,W2516915067,1
W2153603229,W2795223612,1
W2102858050,W2117812349,1
W2016834351,W2801838590,1
W2117812349,W4252307431,1
W2112093136,W4252307431,1
W2168477744,W4252307431,1
W2102858050,W2152846959,1
W2019013274,W2147456678,1
W2006696925,W2772759979,1
W2102858050,W2156885153,1
W2142114494,W2150517994,1
W2114027117,W2152846959,1
W2031976398,W2114027117,1
W2004745343,W2153603229,1
W2016834351,W2125902622,1
W2096969338,W2125902622,1
W2102858050,W2125902622,1
W2115011764,W2125902622,1
W2125902622,W2126583499,1
W2147456678,W2153025271,1
W2096969338,W2795223612,1
W2096969338,W4230973621,1
W2102858050,W2772759979,1
W2006696925,W2585592226,1
W2041725211,W2153603229,1
W2006696925,W2153603229,1
W2108970446,W2153603229,1
W2114027117,W2153603229,1
W2061316418,W4252307431,1
W1981075066,W2004804433,1
W1841733224,W2140155984,1
W1981075066,W2125902622,1
W1981075066,W2156885153,1
W2125902622,W2153603229,1
W2004745343,W2137321576,1
W2016834351,W2549703245,1
W2031976398,W2549703245,1
W2152846959,W2196182430,1
W2004745343,W2125902622,1
W1841733224,W2020999186,1
W2046034301,W2153025271,1
W2046034301,W2153603229,1
W2110203502,W2772759979,1
W2149849126,W4230973621,1
W2112093136,W2117812349,1
W2020999186,W2110203502,1
W2020999186,W2102858050,1
W1981075066,W2601005047,1
W2150517994,W3122664795,1
W2004745343,W2020999186,1
W2019013274,W2020999186,1
W1841733224,W2549703245,1
W2006696925,W3123188741,1
W2108970446,W2170964814,1
W2108970446,W3123188741,1
W2031976398,W2108970446,1
W2109725907,W2116975872,1
W3122664795,W4252307431,1
W1841733224,W2168477744,1
W1997866269,W2128442162,1
W2109725907,W2168477744,1
W2128442162,W2153603229,1
W2020999186,W2031976398,1
W2020999186,W2096969338,1
W2020999186,W2109725907,1
W2801838590,W4230973621,1
W2161933266,W2196182430,1
W2161933266,W2795223612,1
W2004804433,W2019013274,1
W2149849126,W3122664795,1
W2152846959,W3122664795,1
W2031976398,W2061316418,1
W2114027117,W2116975872,1
W1981075066,W2109725907,1
W2149691825,W3123188741,1
W2006696925,W2109725907,1
W2110203502,W2117812349,1
W2112093136,W2795223612,1
W2046034301,W2161933266,1
W2031976398,W2132441191,1
W1841733224,W2149691825,1
W2149849126,W4252307431,1
W2110203502,W3123188741,1
W2137321576,W2161933266,1
W2153025271,W3123188741,1
W2161933266,W3123188741,1
W2102858050,W3123188741,1
W2004804433,W2149691825,1
W1841733224,W1981075066,1
W2019013274,W2170964814,1
W1981075066,W2046034301,1
W2019013274,W2046034301,1
W2046034301,W2061316418,1
W2046034301,W2096969338,1
W2128442162,W2161933266,1
W2019013274,W2137321576,1
W2004804433,W2061316418,1
W1582873904,W1841733224,1
W2004745343,W2031976398,1
W2031976398,W2128442162,1
W2046034301,W2126583499,1
W2046034301,W2128442162,1
W1582873904,W1997866269,1
W1582873904,W2125849337,1
W2125849337,W2125902622,1
W2006696925,W2125902622,1
W2031976398,W2125902622,1
W2096969338,W2117812349,1
W2128442162,W3123188741,1
W1997866269,W2046034301,1
W1841733224,W2150517994,1
W2102858050,W2601005047,1
W2019013274,W2109725907,1
W2019013274,W2108970446,1
W2004804433,W2170964814,1
W2046034301,W2115011764,1
W2153603229,W2161933266,1
W2116542195,W2601005047,1
W2168477744,W2601005047,1
W2061316418,W2585592226,1
W2041725211,W2150517994,1
W2096969338,W2801838590,1
W2150517994,W2801838590,1
W1841733224,W2116975872,1
W1841733224,W2196182430,1
W2031976398,W2601005047,1
W2004745343,W2147456678,1
W2041725211,W2096969338,1
W2112093136,W2152846959,1
W2019013274,W2125849337,1
W2016834351,W2585592226,1
W2108970446,W2585592226,1
W2142114494,W2585592226,1
W1582873904,W2041725211,1
W1582873904,W2102858050,1
W2137321576,W2149691825,1
W2020999186,W2168477744,1
W1997866269,W2116975872,1
W2016834351,W4230973621,1
W2116975872,W4252307431,1
W2132441191,W4230973621,1
W2150517994,W4252307431,1
W1981075066,W2137321576,1
W1582873904,W3122664795,1
W2147456678,W3122664795,1
W2168477744,W2170964814,1
W2115011764,W2152846959,1
W3122664795,W4230973621,1
W2168477744,W4230973621,1
W2132441191,W2156885153,1
W2149691825,W2156885153,1
W2112093136,W3123188741,1
W2150517994,W2153603229,1
W2115011764,W3123188741,1
W2549703245,W4252307431,1
W2016834351,W2020999186,1
W2044203638,W2150517994,1
W2149849126,W2168477744,1
W2108970446,W2152846959,1
W2152846959,W2153025271,1
W2020999186,W2795223612,1
W1981075066,W2772759979,1
W2004804433,W2585592226,1
W2004804433,W2772759979,1
W2061316418,W2152846959,1
W2061316418,W2601005047,1
W2152846959,W2516915067,1
W2152846959,W2795223612,1
W2140155984,W2170964814,1
W2116975872,W2161933266,1
W2109725907,W2153025271,1
W2109725907,W2549703245,1
W2149691825,W2549703245,1
W2020999186,W2112093136,1
W2116975872,W2128442162,1
W2116975872,W2156885153,1
W2128442162,W2142114494,1
W2128442162,W2156885153,1
W2140155984,W2156885153,1
W2153025271,W2156885153,1
W2156885153,W2516915067,1
W2152846959,W2549703245,1
W2149691825,W2601005047,1
W2142114494,W3123188741,1
W2109725907,W2132666096,1
W2061316418,W2549703245,1
W2114027117,W2772759979,1
W2019013274,W2549703245,1
W2110203502,W2128442162,1
W2110203502,W4230973621,1
W2117812349,W2149849126,1
W2140155984,W2149849126,1
W2196182430,W4252307431,1
W2150517994,W2772759979,1
W2004745343,W2149849126,1
W2006696925,W2149849126,1
W2044203638,W2061316418,1
W2061316418,W2149849126,1
W2114027117,W2149849126,1
W2132666096,W2149849126,1
W2153025271,W2601005047,1
W2117812349,W3123188741,1
W2041725211,W4252307431,1
W2516915067,W4252307431,1
W2096969338,W2108970446,1
W2117812349,W2147456678,1
W2801838590,W3122664795,1
W2020999186,W2114027117,1
W2041725211,W3122664795,1
W2116975872,W3122664795,1
W2125902622,W4230973621,1
W2132441191,W2585592226,1
W2110203502,W2125902622,1
W2108970446,W2116975872,1
