country1,country2,shared_references,cosine_coupling
United States,Pakistan,824,0.1592380685187623
Canada,China,528,0.15885537620709653
Canada,Netherlands,670,0.15881080647193033
Canada,Uganda,533,0.1586070709570804
Tanzania,Belgium,451,0.1581040504409831
Ethiopia,Canada,753,0.15799793684395438
Nigeria,Germany,957,0.15752278458950159
Nepal,Switzerland,416,0.1568911786215671
Uganda,Sweden,330,0.15658814703646332
Tanzania,Netherlands,568,0.15628062741577903
India,Ethiopia,1147,0.15627548566262292
South Africa,France,539,0.15493503074742696
Nepal,Japan,286,0.15461465401310787
India,China,791,0.15453095125031607
Germany,Cameroon,444,0.15452101596106202
Ethiopia,Nepal,498,0.1541206205568561
Ghana,Burkina Faso,651,0.15390048558871294
Nepal,Pakistan,324,0.15381102769239632
Germany,China,530,0.1532903100332603
Uganda,Burkina Faso,359,0.1532160709155712
Switzerland,Malawi,360,0.15318601110072907
Norway,Malawi,307,0.15275911997835043
Ethiopia,Sweden,456,0.15257061314366843
Netherlands,Burkina Faso,447,0.15195930834993226
Canada,Malawi,447,0.15149992201007667
Switzerland,Norway,403,0.1512861464745775
Nigeria,Ethiopia,857,0.15117478452717695
Ghana,Belgium,617,0.15080856710606066
Bangladesh,China,369,0.15074729359585165
Ghana,Pakistan,577,0.150303560110882
Canada,Senegal,344,0.15015121261920802
Ghana,Norway,618,0.1495535843678
Netherlands,Sweden,395,0.1492972998562016
India,Kenya,1013,0.14928678539406295
Germany,Japan,423,0.1490461831135293
Netherlands,Norway,425,0.14789655730400814
Netherlands,Nepal,422,0.14753418637591603
Germany,Senegal,351,0.14728155333871357
Kenya,Norway,442,0.14727433723206787
Japan,Senegal,187,0.1468936943122875
Kenya,Sweden,404,0.14620825564240955
Nigeria,Japan,473,0.1457514522304828
United States,Cameroon,668,0.14519859081361888
Germany,Norway,503,0.14458432680640443
Ethiopia,Tanzania,592,0.14418819604471123
Ethiopia,China,465,0.1441314911016816
China,Norway,326,0.14399568599310847
India,Sweden,682,0.14382139315912695
Canada,Tanzania,605,0.14302944203561777
Uganda,France,351,0.14279505302832324
Belgium,Cameroon,265,0.14225777283458085
India,Belgium,724,0.14197911286591658
Burkina Faso,Malawi,292,0.14193917418796845
Tanzania,Australia,577,0.14171918972077285
Tanzania,Japan,332,0.1412535264323347
Ghana,Sweden,537,0.14114593008567425
Germany,Pakistan,456,0.14109225608839657
India,Pakistan,675,0.14107246977014984
Kenya,Bangladesh,456,0.14052737276163
Ethiopia,France,488,0.13998676306406507
Kenya,Nepal,418,0.13992398645069565
Ghana,Japan,471,0.13971933744928006
South Africa,Norway,452,0.13952514059499718
Ethiopia,Japan,369,0.13933940486951887
Netherlands,Japan,325,0.1386371924518284
South Africa,Nepal,447,0.13862215226259172
Ghana,France,610,0.13746274423128987
Nigeria,Nepal,544,0.13738346659409714
United Kingdom,China,679,0.13705221041421287
Australia,France,473,0.13682741933590653
Nigeria,Sweden,501,0.13678798104989276
South Africa,China,440,0.13666342836062415
France,Zambia,294,0.13588247360517366
Canada,Zambia,401,0.1355656862024583
Kenya,France,436,0.13528140976466216
India,Ghana,1262,0.1350749512696516
South Africa,Bangladesh,473,0.13504125064519362
Australia,Belgium,429,0.13460306904884095
Nepal,Bangladesh,329,0.13419753394925904
Australia,Burkina Faso,441,0.13383028769014785
Kenya,Japan,326,0.13315260485523553
Pakistan,Sweden,259,0.13292812240816296
Canada,Norway,444,0.13275942543783434
Belgium,Sweden,274,0.13195172265630356
Nigeria,Bangladesh,566,0.13159282142115303
Bangladesh,Norway,324,0.1315474903627169
Ghana,China,538,0.13100148769480485
Netherlands,China,374,0.1309562823720966
Netherlands,Zambia,332,0.13062618053135647
Ethiopia,Malawi,374,0.13059135262316907
Sweden,Japan,223,0.13033592110253886
Tanzania,France,402,0.12992922037995824
Belgium,Malawi,256,0.12865931534041877
France,Malawi,277,0.1283498498270521
Belgium,Japan,236,0.1282679166138598
South Africa,Japan,338,0.12789630378321784
India,Uganda,658,0.12714293400312027
Australia,Malawi,361,0.12711443331646533
Australia,Uganda,410,0.12675408667164148
Canada,Sweden,388,0.1260085002524299
Canada,Pakistan,391,0.12584740205975015
China,Sweden,260,0.12473575268606309
Tanzania,Senegal,246,0.1246398938179348
Uganda,Norway,285,0.1245099567109039
India,Tanzania,811,0.12449787067524264
Switzerland,Senegal,227,0.1243964478130906
Bangladesh,Malawi,268,0.12333741531226353
India,France,682,0.12330610851386174
Ethiopia,Belgium,396,0.12321058232686097
Burkina Faso,Zambia,254,0.12315545618917081
Belgium,Pakistan,258,0.12313558774467853
France,Japan,243,0.12176616733250004
United States,Senegal,461,0.12081574019192795
India,Norway,622,0.12076574876204456
Tanzania,Bangladesh,376,0.1207016140319103
Sweden,Malawi,223,0.12052006531327597
Canada,Bangladesh,435,0.1202992521921336
Nepal,Sweden,251,0.12023109572158824
